,B_110_elel,B_110_elmu,B_110_mumu,B_90_elel,B_90_elmu,B_90_mumu,MA0,MH0,MHC,Mh,Mtr01,Mtr02,Mtr03,O_110_elel,O_110_elmu,O_110_mumu,O_90_elel,O_90_elmu,O_90_mumu,SR,S_110_elel,S_110_elmu,S_110_mumu,S_90_elel,S_90_elmu,S_90_mumu,U_e1_i,U_e1_r,U_e2_i,U_e2_r,U_e3_i,U_e3_r,U_mu1_i,U_mu1_r,U_mu2_i,U_mu2_r,U_mu3_i,U_mu3_r,U_tau1_i,U_tau1_r,U_tau2_i,U_tau2_r,U_tau3_i,U_tau3_r,Y1e,Y1mu,Y1tau,Y2e,Y2mu,Y2tau,Y3e,Y3mu,Y3tau,Yukawa_max,dB_110_elel,dB_110_elmu,dB_110_mumu,dB_90_elel,dB_90_elmu,dB_90_mumu,dS_110_stat_elel,dS_110_stat_elmu,dS_110_stat_mumu,dS_110_sys_elel,dS_110_sys_elmu,dS_110_sys_mumu,dS_110_tot_elel,dS_110_tot_elmu,dS_110_tot_mumu,dS_90_stat_elel,dS_90_stat_elmu,dS_90_stat_mumu,dS_90_sys_elel,dS_90_sys_elmu,dS_90_sys_mumu,dS_90_tot_elel,dS_90_tot_elmu,dS_90_tot_mumu,index,la2,laL,m_nu_1,m_nu_2,m_nu_3,mu_to_e_gamma,r_exp,r_max,r_obs,tau_to_mu_gamma,theta_1_i,theta_1_r,theta_2_i,theta_2_r,theta_3_i,theta_3_r,xsection1,xsection2,xsection_process,xsectionerror1,xsectionerror2,xsectionerror_process,y1e,y1mu,y1tau,y2e,y2mu,y2tau,y3e,y3mu,y3tau
0,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,400.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.321,1.838,5.193,0.493,2.356,5.957999999999998,0.0,0.8002562017411812,0.08227808817839563,0.5759827440029784,0.012761082236343065,0.14457303058123472,-0.048300171789787225,-0.5114842737583161,0.04789946469480015,0.5836461560544177,0.4474505258441963,0.4392058331006216,-0.05896202967569214,0.3035859379719452,-0.12201924782048355,-0.5510429237207249,0.5462214771833998,0.5361568376552148,0.07468290656631522,0.4477518945221859,0.8910335035331728,0.29402922630058603,0.7285726594493709,0.6186507043428869,0.5958941781884793,0.6628600665168473,0.4533504832007549,2.171852111460615e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.063,0.151,0.253,0.0,0.0,0.0,0.063,0.151,0.253,0.078,0.17,0.271,0.0,0.0,0.0,0.078,0.17,0.271,114623.0,0.01,0.001,4.554739595360474e-17,8.940488457966739e-12,4.950352457151538e-11,1.343494343349214e-33,0.0,0.8264100000000001,0.0,1.831034405208938e-30,0.0,4.058412155060058,0.0,3.8609292358361076,0.0,4.774870933891164,2.271e-23,0.0,0.01823042318946097,1.795e-26,0.0,1.795e-26,1.8203606000549106e-07,1.0913741107068216e-06,2.171852111460615e-06,8.150340108927323e-07,2.019566232680394e-06,1.714868182480376e-06,6.330227485225237e-07,7.041611020062654e-07,4.815975376570719e-07
1,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,400.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.321,1.998,4.503,0.419,2.381,5.206,0.0,0.7939446538376757,0.1673638146579499,0.5626122643721306,-0.038269967940399885,-0.15376634780607046,0.034500624705057915,-0.3560938825852621,0.20922372232254885,0.6138711142471537,0.4083005973560139,0.5335589611181613,0.03715402020331368,0.4901819244990776,-0.11162456859209384,-0.4715765455557423,0.4397024335900331,0.5745942454815021,0.06841148638768142,0.4496523335829081,0.8905799500514668,0.3643453218926941,0.7454203526619101,0.5582123110898779,0.6146173362755013,0.7756710832669047,0.14345696404550712,2.2610209278186195e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.063,0.157,0.236,0.0,0.0,0.0,0.063,0.157,0.236,0.07200000000000001,0.171,0.253,0.0,0.0,0.0,0.07200000000000001,0.171,0.253,112277.0,0.01,0.001,5.302521469921349e-12,1.0015963163976684e-11,5.122718814856382e-11,2.645240210343218e-32,0.0,0.7108899999999999,0.0,2.1064954831932478e-30,0.0,2.7122699958867007,0.0,5.539961738096127,0.0,1.3348154744559848,2.673e-23,0.0,0.01823042318946097,2.1169999999999998e-26,0.0,2.1169999999999998e-26,1.736843530070347e-07,1.1415857008847778e-06,2.2610209278186195e-06,9.9055488638556e-07,2.026593257475576e-06,1.5176259970026595e-06,1.111153309632005e-06,1.4023188746689095e-06,2.5935272401342223e-07
2,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,400.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.284,1.727,5.1560000000000015,0.333,2.245,5.761,0.0,0.7902346553361641,0.584275200366796,0.09852293672055916,0.15634624603520333,-0.0008729448613109267,0.0017992467033543227,-0.5224437226866386,0.5111291974309028,0.0848206168783417,0.6771211259645286,0.010426245497533494,0.0019102867172935574,0.3202731016601597,-0.6079944866654959,-0.10397515014019376,0.718909469455991,0.011069698362124914,0.06903871386081431,0.4543444506941939,0.8881468212586453,0.2046867628083036,0.7176427173463786,0.6656517553276359,0.462803799369895,0.8493907803016878,0.2536689685934803,2.296097671398851e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.059,0.146,0.252,0.0,0.0,0.0,0.059,0.146,0.252,0.064,0.166,0.267,0.0,0.0,0.0,0.064,0.166,0.267,33573.0,0.01,0.001,7.17421986909646e-18,9.039620251708001e-12,4.9400579689480997e-11,4.8921616760667935e-33,0.0,0.82021,0.0,2.200076522838825e-30,0.0,2.095051996189772,0.0,2.3638404776220354,0.0,2.3224989337705626,2.874e-23,0.0,0.01823042318946097,2.281e-26,0.0,2.281e-26,1.7848358665241832e-07,1.174602228236905e-06,2.296097671398851e-06,3.803089328644976e-07,1.333383420927832e-06,1.236783977892698e-06,1.050283040805764e-06,1.927600276363824e-06,5.756742188701942e-07
3,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,400.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.271,2.146,5.107,0.333,2.64,5.687,0.0,0.8285922151130641,0.2448479362324181,0.4816257285827524,0.008309472147996697,0.1464651474464351,-0.05731347084578365,-0.4768145963839272,0.2469380748021544,0.5682029614692273,0.4841520263570736,0.3887503104819171,-0.07107817525621894,0.2788294116321196,-0.29851291816518577,-0.4849156268558162,0.6004285218157089,0.4821146284037342,0.07146821790879761,0.4615106207070532,0.8842512317229368,0.1518426027469739,0.2467742768396781,0.957103066697249,0.3519563373153129,0.7848814683223776,0.5099880560441569,2.2738736340078065e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.058,0.163,0.251,0.0,0.0,0.0,0.058,0.163,0.251,0.064,0.18,0.265,0.0,0.0,0.0,0.064,0.18,0.265,106827.0,0.01,0.001,2.1145232420664047e-13,8.563993523716046e-12,5.13740980481291e-11,6.762373993835413e-33,0.0,0.81195,0.0,1.8167735026985455e-30,0.0,3.8714651166655454,0.0,0.7454113851760386,0.0,0.3841497925074542,2.474e-23,0.0,0.01823042318946096,2.045e-26,0.0,2.045e-26,1.7795884864307992e-07,1.1491807281719042e-06,2.2018225123431874e-06,1.9384611654211345e-07,3.150382986227714e-07,1.221862041702302e-06,1.0196498045161332e-06,2.2738736340078065e-06,1.4774821945743743e-06
4,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,400.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.185,1.764,5.934,0.271,2.331,6.896,0.0,0.7831949153280192,0.5430299944392836,0.26964708919983066,0.09905434965388824,0.09593139655145302,-0.020512082251435186,-0.5257110800935325,0.471998162403222,0.2521043791033497,0.5851604007257765,0.3073361952259229,-0.022891841643181608,0.3305885704907566,-0.5345363698565067,-0.2456437633054305,0.6530492158268292,0.34299255561134057,0.07134753669049135,0.4679655936473973,0.8808619257127861,0.569531813451833,0.7395583224441115,0.3587297048892353,0.3961725672941364,0.8274370335393301,0.3979890104653725,2.487329725188388e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.048,0.14800000000000002,0.271,0.0,0.0,0.0,0.048,0.14800000000000002,0.271,0.058,0.17,0.292,0.0,0.0,0.0,0.058,0.17,0.292,62311.0,0.01,0.001,3.270436549968557e-14,8.972734937080771e-12,4.855214882616152e-11,1.1857791724335875e-32,0.0,0.95062,0.0,2.9390570820288933e-30,0.0,1.2486781480550733,0.0,2.236331287518813,0.0,6.202096533386523,4.089e-23,0.0,0.018230423189460963,3.567e-26,0.0,3.567e-26,2.014672715994907e-07,1.3214156469559228e-06,2.487329725188388e-06,3.4321908857196355e-07,4.456828001172677e-07,2.1618262482923738e-07,1.0400828658642629e-06,2.172293470604844e-06,1.0448516246708666e-06
5,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,400.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.271,1.813,5.23,0.333,2.307,6.119,0.0,0.7975307919882788,0.4425142571240989,0.38545771025254577,-0.0035578793300518187,-0.1397693212904501,0.05058417364841872,-0.4006830708686889,0.5174228350063362,0.4013451120523885,0.4563002637068401,0.4470795212065453,0.05990623240860257,0.4441285818822058,-0.3286075101762388,-0.3446974049078499,0.5403909498595342,0.5294709346974439,0.07193606171403909,0.4746968985069887,0.8772046839665871,0.5020207564014518,0.7585627455572749,0.4154006754865997,0.8617540195702091,0.45018989650029706,0.2338996939793619,7.37483362302301e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.058,0.15,0.254,0.0,0.0,0.0,0.058,0.15,0.254,0.064,0.16899999999999998,0.275,0.0,0.0,0.0,0.064,0.16899999999999998,0.275,84547.0,0.01,0.001,2.445150877726345e-10,2.446653674568592e-10,2.496734299395089e-10,2.1373523876368647e-30,0.0,0.8326100000000001,0.0,1.3870837165588307e-28,0.0,5.6771516744855965,0.0,1.309401220508624,0.0,4.681671883359112,2.318e-21,0.0,0.018230423189460984,1.903e-24,0.0,1.903e-24,5.57337956435493e-07,3.677802106985775e-06,6.7963056954807705e-06,3.97621283497143e-06,6.008131908004273e-06,3.290145828561687e-06,7.37483362302301e-06,3.852695212389601e-06,2.001698034938209e-06
6,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,400.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.14800000000000002,2.208,5.675,0.284,2.529,6.501,0.0,0.8207375213540716,0.3105644350089396,0.4530325858023737,0.03423675353081289,0.15339156970980627,-0.011928720649788373,-0.4919339333092389,0.2997803694794044,0.4514202198485711,0.235139729058773,0.6394681648740516,-0.012516549831300022,0.28998615122873744,-0.3665597524470524,-0.5199006356809044,0.2467270566969587,0.6709801818787702,0.06911649859823145,0.479331958382205,0.8749078713184609,0.4344443689366573,0.2301136446461089,0.8708075567235931,0.25358947438506085,0.7664530394703939,0.5901204256486157,2.5554791651222875e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.043,0.165,0.265,0.0,0.0,0.0,0.043,0.165,0.265,0.059,0.177,0.28300000000000003,0.0,0.0,0.0,0.059,0.177,0.28300000000000003,132950.0,0.01,0.001,1.7870989715823536e-15,8.715015601176568e-12,4.873897601124468e-11,2.8676917766386326e-33,0.0,0.9071,0.0,5.165768817226136e-31,0.0,0.4715394250983331,0.0,5.77307085380376,0.0,2.955956495309628,6.291e-24,0.0,0.01823042318946096,5.455e-27,0.0,5.455e-27,1.222311108309869e-07,8.476887417347913e-07,1.5472566341600812e-06,5.955334644393975e-07,3.15438260475772e-07,1.193697233054068e-06,8.455085764068749e-07,2.5554791651222875e-06,1.9675575345100904e-06
7,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,400.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.29600000000000004,1.998,6.4270000000000005,0.407,2.5660000000000003,7.402,0.0,0.7935387181157224,0.5760654522116019,0.1335042290432582,0.10667089109345164,0.0961396871244813,-0.01716479666168524,-0.528377952078377,0.5406294546166093,0.13842181998915268,0.561060380613157,0.3070709223796368,-0.020266766323318808,0.30067868322692154,-0.5703263837931426,-0.11667143650904101,0.6624535001070481,0.3625638422181611,0.07168229983513809,0.4865603885475462,0.8707012324481953,0.3192761403327517,0.7790298494346437,0.5396065602863417,0.4664279741062034,0.841633735114215,0.2722087450631928,2.643687521497299e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.06,0.157,0.282,0.0,0.0,0.0,0.06,0.157,0.282,0.071,0.17800000000000002,0.302,0.0,0.0,0.0,0.071,0.17800000000000002,0.302,148324.0,0.01,0.001,3.6138725543644966e-16,8.956009791088169e-12,5.004251785654734e-11,2.826781309328669e-32,0.0,1.0336299999999998,0.0,4.1818553013100826e-30,0.0,4.455822344739519,0.0,1.010952383509746,0.0,3.7160051408306143,5.467e-23,0.0,0.01823042318946097,4.877e-26,0.0,4.877e-26,2.1764710387918004e-07,1.477330661450003e-06,2.643687521497299e-06,3.4844748415011076e-07,8.502075690041644e-07,5.889088616728778e-07,1.0226691469065225e-06,1.8453285430539467e-06,5.96832738490262e-07
8,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,400.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_elel,4.49,3.084,0.95,5.144,3.676,1.1840000000000002,0.0,0.8170196678976117,0.5230227316724149,0.18933089527052768,-0.12016614502141093,0.09295156862127273,-0.06422782816301671,-0.3084395415512537,0.5481490376899566,0.2449303196083205,0.7313678573534339,0.0733666378097156,-0.0577396513784416,0.4794630645047507,-0.5523858343364926,-0.15815402394660455,0.6574864248220226,0.06595527532379822,0.4411994921903535,0.2236341551689888,0.8690976773256427,0.14421078144043115,0.7477892202385751,0.6480852818968533,0.5648675883714207,0.5511037990856689,0.614173599433253,2.680163877961508e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.235,0.195,0.108,0.0,0.0,0.0,0.235,0.195,0.108,0.252,0.213,0.121,0.0,0.0,0.0,0.252,0.213,0.121,117490.0,0.01,0.001,3.225236379178939e-14,8.471884156552739e-12,5.0820748141480427e-11,4.3020653048783824e-33,0.0,0.7350800000000001,0.0,1.025884578521892e-31,0.0,2.8819724227664483,0.0,6.168748529162352,0.0,4.7380387214156565,5.768999999999999e-26,0.0,0.01823042318946097,4.9029999999999997e-29,0.0,4.9029999999999997e-29,2.4139259149734614e-07,1.2235650588707118e-07,4.7550766559687384e-07,5.168682788793523e-07,2.680163877961508e-06,2.3228133214119917e-06,8.704548501783687e-07,8.492449996093927e-07,9.464348804638022e-07
9,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,400.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.29600000000000004,2.023,4.823,0.456,2.455,5.601,0.0,0.8322013080881724,0.4873234257510835,0.22154736885725854,0.14405739328074116,0.011004195751922291,0.0014281772404251911,-0.4690517032279585,0.4926503880189021,0.22295994949744588,0.6952534623161166,0.06477298241624302,0.001433995206085959,0.2956812244340259,-0.5902997270583664,-0.2693758162983336,0.698085716363297,0.0650368481163651,0.0961045541800938,0.4483476409106728,0.8886778423904131,0.2968228254597232,0.8226365412980831,0.4849384818791286,0.4039750009494045,0.8692817378110627,0.2848744616776089,2.295829883041312e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.06,0.158,0.244,0.0,0.0,0.0,0.06,0.158,0.244,0.075,0.174,0.263,0.0,0.0,0.0,0.075,0.174,0.263,113252.0,0.01,0.001,1.9604590499024958e-16,8.531580763654676e-12,4.9209998366955107e-11,1.306263898980577e-32,0.0,0.76447,0.0,2.18596048737849e-30,0.0,4.4845840889093065,0.0,3.904333883848147,0.0,5.188225614684673,2.866e-23,0.0,0.01823042318946097,2.2580000000000004e-26,0.0,2.2580000000000004e-26,2.482786189307182e-07,1.1582711561987992e-06,2.295829883041312e-06,7.111811070914887e-07,1.9710194634397154e-06,1.1619021747398002e-06,6.097059917680662e-07,1.3119779264369437e-06,4.299515212038929e-07
