Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1,B_110_elel,B_110_elmu,B_110_mumu,B_90_elel,B_90_elmu,B_90_mumu,MA0,MH0,MHC,Mh,Mtr01,Mtr02,Mtr03,O_110_elel,O_110_elmu,O_110_mumu,O_90_elel,O_90_elmu,O_90_mumu,SR,S_110_elel,S_110_elmu,S_110_mumu,S_90_elel,S_90_elmu,S_90_mumu,U_e1_i,U_e1_r,U_e2_i,U_e2_r,U_e3_i,U_e3_r,U_mu1_i,U_mu1_r,U_mu2_i,U_mu2_r,U_mu3_i,U_mu3_r,U_tau1_i,U_tau1_r,U_tau2_i,U_tau2_r,U_tau3_i,U_tau3_r,Unnamed: 0.1.1,Unnamed: 0.1.1,Y1e,Y1mu,Y1tau,Y2e,Y2mu,Y2tau,Y3e,Y3mu,Y3tau,Yukawa_max,dB_110_elel,dB_110_elmu,dB_110_mumu,dB_90_elel,dB_90_elmu,dB_90_mumu,dS_110_stat_elel,dS_110_stat_elmu,dS_110_stat_mumu,dS_110_sys_elel,dS_110_sys_elmu,dS_110_sys_mumu,dS_110_tot_elel,dS_110_tot_elmu,dS_110_tot_mumu,dS_90_stat_elel,dS_90_stat_elmu,dS_90_stat_mumu,dS_90_sys_elel,dS_90_sys_elmu,dS_90_sys_mumu,dS_90_tot_elel,dS_90_tot_elmu,dS_90_tot_mumu,index,la2,laL,level_0,m_nu_1,m_nu_2,m_nu_3,mu_to_e_gamma,r_exp,r_max,r_obs,tau_to_mu_gamma,theta_1_i,theta_1_r,theta_2_i,theta_2_r,theta_3_i,theta_3_r,xsection1,xsection2,xsection_process,xsectionerror1,xsectionerror2,xsectionerror_process,y1e,y1mu,y1tau,y2e,y2mu,y2tau,y3e,y3mu,y3tau,CLdb,CLdbs
9,80913.0,80913.0,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,350.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.418,2.32,4.965,0.673,3.132,5.777,0.0,0.818220670771,0.198908387936,0.520227527684,0.0097441113951,-0.142192682178,0.0123822323167,-0.34510662825,0.248006363405,0.625038621567,0.0595895822964,0.65193308123,0.0140414447974,0.459419054037,-0.165127928132,-0.458640496751,0.0675745543218,0.739291763998,80913.0,80913.0,0.0648366430744,0.353452829495,0.933202714868,0.539785302671,0.77625355763,0.32567198419,0.839033241475,0.523416439765,0.148520874908,1.01077879149e-05,2.2,2.0,2.4,2.3,3.2,3.3,0.098,0.232,0.339,0.0,0.0,0.0,0.098,0.232,0.339,0.125,0.27,0.366,0.0,0.0,0.0,0.125,0.27,0.366,80913.0,0.01,0.001,0.0,4.84390532129e-10,4.84466625602e-10,4.87089154881e-10,9.58143391016e-30,0.0,0.75645,0.0,3.30020056352e-28,0.0,5.77989062426,0.0,1.15494755379,0.0,0.513944252899,1.243e-20,0.0,0.034286292987,9.479e-24,0.0,9.479e-24,7.01798469071e-07,3.82580964816e-06,1.010108182e-05,6.01374353942e-06,8.64823438884e-06,3.6283088502e-06,1.01077879149e-05,6.30556943727e-06,1.78922291787e-06,0.947648993129,0.0180524322023
28,63444.0,63444.0,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,350.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.464,2.622,5.081,0.673,3.503,6.218,0.0,0.799783310956,0.502093255929,0.29314023113,0.133479421535,0.0670899902144,-0.016619167705,-0.519236994491,0.468821780931,0.287704770773,0.632523409252,0.165719601026,-0.018851693808,0.300179972639,-0.524498596055,-0.290352359349,0.717493068805,0.187981446002,63444.0,63444.0,0.0899799636074,0.37774322544,0.921527895282,0.235485257873,0.776070231166,0.585031357812,0.676305687119,0.719862810006,0.156231086348,2.29691050177e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.104,0.247,0.343,0.0,0.0,0.0,0.104,0.247,0.343,0.125,0.285,0.38,0.0,0.0,0.0,0.125,0.285,0.38,63444.0,0.01,0.001,0.0,2.54534078502e-12,9.25894843268e-12,5.14829302241e-11,1.2417907414e-33,0.0,0.7755,0.0,1.55451560746e-30,0.0,2.0286459993,0.0,5.58808807859,0.0,1.19612909407,3.495e-23,0.0,0.034286292987,2.858e-26,0.0,2.858e-26,2.24275276328e-07,9.41525900548e-07,2.29691050177e-06,6.3599906304e-07,2.09601205754e-06,1.58005388014e-06,1.11049588612e-06,1.18201680735e-06,2.56531893755e-07,0.955481294389,0.01572503255
53,18583.0,18583.0,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,350.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.487,2.552,4.988,0.858,3.294,5.847,0.0,0.831799661228,0.31886762279,0.425122146938,0.0993926299341,0.125797567605,-0.0357518471132,-0.471354247105,0.308281088357,0.4490743641,0.602689732706,0.341477746456,-0.0362921224336,0.2886852691,-0.407576094267,-0.504748762029,0.611797468801,0.346638095187,18583.0,18583.0,0.10942304433,0.347745126235,0.931182003987,0.107692888235,0.664402218275,0.739575509448,0.478511372176,0.849827251087,0.220953637689,2.13087285528e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.106,0.243,0.34,0.0,0.0,0.0,0.106,0.243,0.34,0.141,0.276,0.368,0.0,0.0,0.0,0.141,0.276,0.368,18583.0,0.01,0.001,0.0,6.8323823698e-14,8.86465797223e-12,4.8701583467e-11,3.34229789581e-34,0.0,0.76026,0.0,3.85320016213e-31,0.0,2.45330942454,0.0,2.73020059284,0.0,5.19098798635,6.154e-24,0.0,0.034286292987,4.706e-27,0.0,4.706e-27,1.76662286988e-07,5.61430635253e-07,1.50338297964e-06,3.10285899566e-07,1.91428276602e-06,2.13087285528e-06,9.93551185892e-07,1.76452833144e-06,4.58774360481e-07,0.952112759976,0.0168178181816
56,79351.0,79351.0,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,350.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.487,2.784,4.524,0.766,3.712,5.545,0.0,0.782713132689,0.221813287585,0.561705015617,0.104306026103,0.108474631668,0.0298808828437,-0.543542663063,0.227973324175,0.514533822379,0.216711942347,0.583084513092,0.0369095680724,0.299443386922,-0.180555057455,-0.534760994465,0.267687679443,0.720239681019,79351.0,79351.0,0.109477175455,0.367658043597,0.923494618843,0.0574075349662,0.494103472557,0.867505696429,0.447262014916,0.827502773745,0.339405140587,2.28686482395e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.106,0.254,0.324,0.0,0.0,0.0,0.106,0.254,0.324,0.133,0.293,0.359,0.0,0.0,0.0,0.133,0.293,0.359,79351.0,0.01,0.001,0.0,2.69717720298e-18,8.72789128477e-12,5.01201411035e-11,1.80809077461e-33,0.0,0.68422,0.0,4.15907464198e-31,0.0,5.79212136024,0.0,3.59678811658,0.0,0.930309153472,6.647e-24,0.0,0.034286292987,5.206e-27,0.0,5.206e-27,1.80194193902e-07,6.05147552652e-07,1.52002796678e-06,1.51334190524e-07,1.30252499255e-06,2.28686482395e-06,1.10713504799e-06,2.04836827758e-06,8.40150323702e-07,0.940792280364,0.0218135677622
84,59730.0,59730.0,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,350.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.557,2.459,4.756,0.905,3.271,5.754,0.0,0.832936207399,0.205307317138,0.488336012355,0.0546193025402,0.150369048548,-0.0355098117436,-0.490062506465,0.20996874428,0.557694935793,0.441971756006,0.456210746186,-0.0422414594473,0.251019374819,-0.258445421087,-0.545410207002,0.525756997614,0.542695294292,59730.0,59730.0,0.126980790894,0.359575123247,0.924435833082,0.528819285282,0.624967339477,0.574252547318,0.493726375527,0.689950289646,0.529341915898,2.36841329047e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.114,0.239,0.332,0.0,0.0,0.0,0.114,0.239,0.332,0.145,0.275,0.365,0.0,0.0,0.0,0.145,0.275,0.365,59730.0,0.01,0.001,0.0,1.52900344913e-11,1.76037475662e-11,5.27365938597e-11,2.86836251677e-32,0.0,0.72221,0.0,5.34521361822e-31,0.0,5.20110451108,0.0,0.354515244572,0.0,2.57562103237,2.401e-23,0.0,0.034286292987,1.869e-26,0.0,1.869e-26,2.88147159222e-07,8.15954520055e-07,2.09774688998e-06,1.33511550389e-06,1.57786148801e-06,1.44982132916e-06,1.69482950758e-06,2.36841329047e-06,1.81708805349e-06,0.944074135548,0.0195170675014
86,33646.0,33646.0,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,350.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.626,2.645,4.524,0.998,3.689,5.73,0.0,0.783861460313,0.118172866994,0.592261488886,0.112993529379,0.0897506303228,0.0536762603256,-0.456740177034,0.128083677724,0.430580518528,0.18781145744,0.742582732616,0.0439015026397,0.414898950182,-0.0954841284226,-0.651413288223,0.153609903979,0.607354118904,33646.0,33646.0,0.126711422708,0.374778862768,0.918414405036,0.209663420038,0.833486980246,0.511214929416,0.617736990841,0.0861739884816,0.781648932614,2.7195687394e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.121,0.248,0.324,0.0,0.0,0.0,0.121,0.248,0.324,0.152,0.293,0.365,0.0,0.0,0.0,0.152,0.293,0.365,33646.0,0.01,0.001,0.0,2.76131092696e-13,8.7157949658e-12,4.85242670838e-11,6.23208401047e-33,0.0,0.68422,0.0,4.11610591015e-31,0.0,2.52923171444,0.0,5.89033521637,0.0,4.85503746983,4.968e-24,0.0,0.034286292987,4.095e-27,0.0,4.095e-27,1.93902944611e-07,5.73513606865e-07,1.40542386553e-06,6.84106766447e-07,2.7195687394e-06,1.66803342357e-06,8.43403314256e-07,1.17654323062e-07,1.06719414593e-06,0.940238742756,0.0213543982422
87,57990.0,57990.0,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,350.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.742,2.691,5.081,1.021,3.434,6.287,0.0,0.791934263019,0.289469342818,0.514561758905,0.102046565861,-0.117729848782,0.0799594871312,-0.467759625815,0.346823694798,0.494934628951,0.542408958877,0.339636529244,0.0940118898141,0.372571201928,-0.198946471603,-0.496595444069,0.637734096425,0.399325622383,57990.0,57990.0,0.12688157685,0.38082399458,0.915900731853,0.899453728411,0.356454751531,0.252829983503,0.37702653581,0.846964910769,0.374835205419,4.31104491637e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.131,0.25,0.343,0.0,0.0,0.0,0.131,0.25,0.343,0.154,0.282,0.382,0.0,0.0,0.0,0.154,0.282,0.382,57990.0,0.01,0.001,0.0,7.78894593617e-11,7.84015037114e-11,9.29003952997e-11,3.73105295231e-31,0.0,0.7755,0.0,1.14536457104e-29,0.0,2.23866060582,0.0,5.70761770143,0.0,3.6090178686,3.579e-22,0.0,0.034286292987,3.052e-25,0.0,3.052e-25,5.65670378695e-07,1.69781034078e-06,4.08331868737e-06,4.0742011893e-06,1.61461154337e-06,1.14522869486e-06,1.91906218295e-06,4.31104491637e-06,1.90790832802e-06,0.959163844901,0.014100033395
113,91513.0,91513.0,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,350.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.626,2.738,5.127,0.905,3.55,6.473,0.0,0.82451502472,0.408584728635,0.360517100681,0.0924870311269,0.121272679225,-0.0174234225683,-0.477680822905,0.390249165302,0.359694802083,0.5240193013,0.463946619748,-0.0173709444074,0.302308914978,-0.494284763771,-0.420825082763,0.522440990891,0.46254924416,91513.0,91513.0,0.14037497256,0.363898689553,0.920799984155,0.311504124118,0.859390426991,0.405479068084,0.358778305406,0.712807653311,0.602646975393,2.19597717367e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.121,0.252,0.345,0.0,0.0,0.0,0.121,0.252,0.345,0.145,0.287,0.388,0.0,0.0,0.0,0.145,0.287,0.388,91513.0,0.01,0.001,0.0,3.1809571818e-13,9.03768825787e-12,4.81382344248e-11,3.19993994846e-33,0.0,0.78313,0.0,1.2284549393e-30,0.0,1.39550970692,0.0,5.62177606293,0.0,1.03007084788,2.93e-23,0.0,0.034286292987,2.291e-26,0.0,2.291e-26,3.34774370984e-07,8.67846687163e-07,2.19597717367e-06,7.95069362642e-07,2.19347015383e-06,1.03492685735e-06,5.70231461356e-07,1.13291507231e-06,9.57828999921e-07,0.959705096022,0.0141075825442
114,122842.0,122842.0,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,350.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.719,2.598,5.127,0.998,3.271,6.218,0.0,0.838222333613,0.308413633484,0.42661347433,0.000149799205438,0.1423561421,-0.0412282393384,-0.457532670709,0.312028857937,0.47580858912,0.339129864966,0.591776309544,-0.0433585675463,0.290632829473,-0.391855081285,-0.495555998659,0.356653240426,0.622354325614,122842.0,122842.0,0.142218838241,0.370328168192,0.917949263245,0.232208646008,0.790709061095,0.566443576555,0.416898159865,0.879263123058,0.23041763112,2.24233196778e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.129,0.246,0.345,0.0,0.0,0.0,0.129,0.246,0.345,0.152,0.275,0.38,0.0,0.0,0.0,0.152,0.275,0.38,122842.0,0.01,0.001,0.0,4.1468098215e-15,8.96184125536e-12,4.97305200928e-11,1.74881585325e-32,0.0,0.78313,0.0,1.41561446349e-30,0.0,5.09444801445,0.0,3.83269827041,0.0,1.08556692699,3.226e-23,0.0,0.034286292987,2.654e-26,0.0,2.654e-26,3.47406834101e-07,9.04623733965e-07,2.24233196778e-06,5.78119849765e-07,1.96859424258e-06,1.4102501393e-06,7.10930066154e-07,1.49939397776e-06,3.92927667966e-07,0.958968772464,0.014007369156
144,954.0,954.0,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,350.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.951,2.877,4.478,1.206,3.642,5.382,0.0,0.795546580617,0.560831704692,0.169166364471,0.153995500371,-0.015542331793,0.00882283461835,-0.524332375656,0.517806292904,0.149402723945,0.659195754101,0.00376089235689,0.00984877337411,0.303325497049,-0.57738916864,-0.181735404334,0.735848496787,0.00419821725213,954.0,954.0,0.155049286065,0.349136330312,0.924155583085,0.196651400023,0.697203810384,0.689372956864,0.389511902953,0.822603664739,0.414250755239,2.13325850542e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.149,0.258,0.322,0.0,0.0,0.0,0.149,0.258,0.322,0.167,0.291,0.353,0.0,0.0,0.0,0.167,0.291,0.353,954.0,0.01,0.001,0.0,1.56891530329e-18,8.7773508023e-12,4.83285546929e-11,1.43115929171e-32,0.0,0.67663,0.0,9.88477142753e-31,0.0,1.17374384827,0.0,2.49919350314,0.0,0.758964506792,2.571e-23,0.0,0.034286292987,2e-26,0.0,2e-26,3.57905329265e-07,8.05922790298e-07,2.13325850542e-06,3.82362467799e-07,1.35561999287e-06,1.3403939407e-06,9.58246403531e-07,2.02370453198e-06,1.01910697301e-06,0.947584228979,0.0185742477952
