Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,B_110_elel,B_110_elmu,B_110_mumu,B_90_elel,B_90_elmu,B_90_mumu,MA0,MH0,MHC,Mh,Mtr01,Mtr02,Mtr03,O_110_elel,O_110_elmu,O_110_mumu,O_90_elel,O_90_elmu,O_90_mumu,SR,S_110_elel,S_110_elmu,S_110_mumu,S_90_elel,S_90_elmu,S_90_mumu,U_e1_i,U_e1_r,U_e2_i,U_e2_r,U_e3_i,U_e3_r,U_mu1_i,U_mu1_r,U_mu2_i,U_mu2_r,U_mu3_i,U_mu3_r,U_tau1_i,U_tau1_r,U_tau2_i,U_tau2_r,U_tau3_i,U_tau3_r,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Y1e,Y1mu,Y1tau,Y2e,Y2mu,Y2tau,Y3e,Y3mu,Y3tau,Yukawa_max,dB_110_elel,dB_110_elmu,dB_110_mumu,dB_90_elel,dB_90_elmu,dB_90_mumu,dS_110_stat_elel,dS_110_stat_elmu,dS_110_stat_mumu,dS_110_sys_elel,dS_110_sys_elmu,dS_110_sys_mumu,dS_110_tot_elel,dS_110_tot_elmu,dS_110_tot_mumu,dS_90_stat_elel,dS_90_stat_elmu,dS_90_stat_mumu,dS_90_sys_elel,dS_90_sys_elmu,dS_90_sys_mumu,dS_90_tot_elel,dS_90_tot_elmu,dS_90_tot_mumu,index,la2,laL,level_0,m_nu_1,m_nu_2,m_nu_3,mu_to_e_gamma,r_exp,r_max,r_obs,tau_to_mu_gamma,theta_1_i,theta_1_r,theta_2_i,theta_2_r,theta_3_i,theta_3_r,xsection1,xsection2,xsection_process,xsectionerror1,xsectionerror2,xsectionerror_process,y1e,y1mu,y1tau,y2e,y2mu,y2tau,y3e,y3mu,y3tau,CLdb,CLdbQ
11,99932.0,99932.0,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,350.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.371,2.482,5.823,0.534,3.062,7.192,0.0,0.833968964844,0.385539410218,0.366004242226,0.12365431948,-0.0812750440933,0.0676754520104,-0.4570955274,0.485088835534,0.401027706188,0.562328279492,0.272279669861,0.0830428982136,0.289971299889,-0.372827784763,-0.426925404796,0.690019330337,0.334107748647,99932.0,99932.0,0.0622104329758,0.381847705361,0.922129162286,0.849847793094,0.486080595777,0.203677153806,0.445490833612,0.839003830949,0.312426773533,3.07626923709e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.093,0.24,0.368,0.0,0.0,0.0,0.093,0.24,0.368,0.111,0.267,0.408,0.0,0.0,0.0,0.111,0.267,0.408,99932.0,0.01,0.001,0.0,2.45370832105e-11,2.59619099607e-11,5.65489790936e-11,4.43767226775e-32,0.0,0.89776,0.0,3.91038505988e-30,0.0,2.35686471136,0.0,2.18247857237,0.0,0.128050697043,1.122e-22,0.0,0.034286292987,9.26e-26,0.0,9.26e-26,2.07537131474e-07,1.27386313902e-06,3.07626923709e-06,2.17481446308e-06,1.24391110798e-06,5.21222768942e-07,1.44734763927e-06,2.72582536484e-06,1.01503806364e-06,0.967343194964,0.952495199403
12,54771.0,54771.0,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,350.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.325,2.482,5.777,0.464,3.271,6.914,0.0,0.796968692848,0.0333516910671,0.583872596601,0.146107970187,-0.038390354382,0.0794920601917,-0.426207366653,0.0853532346736,0.471381023001,0.558343165427,0.520380590609,0.0654271294036,0.415437704518,0.0107029185464,-0.654507952328,0.459552695551,0.428307030398,54771.0,54771.0,0.0643517616135,0.390645864679,0.918288984572,0.151677625483,0.811627061004,0.564141304793,0.935764571251,0.155913862773,0.316283946142,2.85705482873e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.087,0.24,0.366,0.0,0.0,0.0,0.087,0.24,0.366,0.104,0.275,0.401,0.0,0.0,0.0,0.104,0.275,0.401,54771.0,0.01,0.001,0.0,7.3872905802e-12,1.15871059581e-11,5.13177650732e-11,1.09087827487e-32,0.0,0.89011,0.0,1.48080313316e-31,0.0,5.42198542989,0.0,3.37483374266,0.0,4.85995905495,7.589e-24,0.0,0.034286292987,7.026e-27,0.0,7.026e-27,1.09479491189e-07,6.64592692222e-07,1.56225421456e-06,5.33929082848e-07,2.85705482873e-06,1.98586606631e-06,1.61055944302e-06,2.68345855039e-07,5.44361382964e-07,0.966066715782,0.950826964586
14,67653.0,67653.0,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,350.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.487,2.529,5.963,0.65,3.387,7.378,0.0,0.808939783142,0.493309131133,0.276505870741,0.127487553191,0.0977443380352,0.00833666698389,-0.518666185191,0.490514799274,0.268258507763,0.472868775749,0.441297647796,0.00960948240091,0.276477799147,-0.52558464484,-0.302297850474,0.545064854729,0.508673548824,67653.0,67653.0,0.0636690490947,0.404256574388,0.912426914471,0.513503833838,0.845763834967,0.144904617236,0.0840817476814,0.568307134078,0.81850916981,2.7496633197e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.106,0.242,0.372,0.0,0.0,0.0,0.106,0.242,0.372,0.123,0.28,0.414,0.0,0.0,0.0,0.123,0.28,0.414,67653.0,0.01,0.001,0.0,5.30608970761e-17,8.97039788385e-12,5.01004588216e-11,5.34926588436e-33,0.0,0.92075,0.0,1.47443811554e-31,0.0,5.93782941015,0.0,3.48877365397,0.0,2.72377137989,2.364e-24,0.0,0.034286292987,2.192e-27,0.0,2.192e-27,8.09179192284e-08,5.13775551842e-07,1.15961661776e-06,9.9539575399e-07,1.63946143092e-06,2.80888731935e-07,2.82460485458e-07,1.90914572315e-06,2.7496633197e-06,0.971213615399,0.95746518355
29,113014.0,113014.0,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,350.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.51,2.645,5.823,0.766,3.41,7.285,0.0,0.799979781087,0.345748390528,0.46317522466,0.139874969477,0.0799631444713,0.0447776892804,-0.521493364591,0.3692985861,0.440640369074,0.292249536062,0.556852276055,0.0541577708027,0.288338195428,-0.314276529152,-0.486427429715,0.353470302858,0.673502327213,113014.0,113014.0,0.090841046487,0.388073812617,0.917140458291,0.237379728523,0.707502605637,0.665650754903,0.412282272389,0.82294413256,0.390878859186,2.45405016844e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.109,0.248,0.368,0.0,0.0,0.0,0.109,0.248,0.368,0.133,0.281,0.411,0.0,0.0,0.0,0.133,0.281,0.411,113014.0,0.01,0.001,0.0,3.55302889442e-16,8.7104940149e-12,5.0865889896e-11,1.02696683333e-32,0.0,0.89776,0.0,1.93761427894e-30,0.0,5.0454781647,0.0,3.93666054947,0.0,3.80066172386,4.644e-23,0.0,0.034286292987,4.263e-26,0.0,4.263e-26,2.43069077825e-07,1.03839340704e-06,2.45405016844e-06,3.71501139606e-07,1.1072471348e-06,1.04174865969e-06,1.01580808314e-06,2.02762368846e-06,9.63072950939e-07,0.969439452915,0.955282285039
30,89664.0,89664.0,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,350.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.487,2.784,5.684,0.673,3.457,7.053,0.0,0.793095529178,0.271471366665,0.526381892799,0.0436268719172,0.135357222412,-0.0265915044386,-0.526883072502,0.240584109932,0.509814924254,0.401482443987,0.492653017883,-0.0317522552168,0.302784404633,-0.284731224241,-0.500361428383,0.479400218064,0.588264736703,89664.0,89664.0,0.0899831272988,0.395726209766,0.913949562999,0.578073869946,0.518953555767,0.629696599834,0.230160847562,0.710927903092,0.66453555274,2.39903144148e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.106,0.254,0.363,0.0,0.0,0.0,0.106,0.254,0.363,0.125,0.283,0.405,0.0,0.0,0.0,0.125,0.283,0.405,89664.0,0.01,0.001,0.0,1.9296871821e-16,8.68746892352e-12,5.06179614639e-11,5.53728172757e-34,0.0,0.8748,0.0,5.41513169185e-31,0.0,0.605595393914,0.0,5.74217072751,0.0,3.1128080058,1.26e-23,0.0,0.034286292987,1.186e-26,0.0,1.186e-26,1.7379057582e-07,7.64293128354e-07,1.76517337852e-06,7.03291012716e-07,6.31364589827e-07,7.66095792296e-07,7.76679474103e-07,2.39903144148e-06,2.24248011376e-06,0.967555687115,0.953171269999
58,49504.0,49504.0,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,350.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.58,2.97,5.406,0.696,3.921,6.751,0.0,0.80873616435,0.258894899251,0.50690389636,0.114523013871,0.09408595412,0.00185424394356,-0.51488061722,0.257404405185,0.501116436821,0.489533302281,0.42175460482,0.00214842890416,0.284316219228,-0.27104766246,-0.534022775366,0.567200178717,0.488668056113,49504.0,49504.0,0.11057105503,0.389141264055,0.914517970517,0.362128659367,0.805627364336,0.468857530491,0.0782438504588,0.580749852621,0.810313216322,2.22693971889e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.116,0.262,0.354,0.0,0.0,0.0,0.116,0.262,0.354,0.127,0.302,0.396,0.0,0.0,0.0,0.127,0.302,0.396,49504.0,0.01,0.001,0.0,1.57429671118e-14,8.54089764482e-12,4.94555961355e-11,1.24680059911e-32,0.0,0.82892,0.0,1.45242000541e-30,0.0,2.03496645459,0.0,5.58060403534,0.0,5.20222081705,3.185e-23,0.0,0.034286292987,2.92e-26,0.0,2.92e-26,2.69251214459e-07,9.47596619336e-07,2.22693971889e-06,9.49918660331e-07,2.11328335071e-06,1.2298847543e-06,1.09312686692e-07,8.11352282816e-07,1.13206998657e-06,0.964139162122,0.948787907578
59,58460.0,58460.0,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,350.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.65,3.039,5.707,0.882,3.735,7.099,0.0,0.825326800928,0.271903566015,0.472134282963,0.147949674521,-0.0102095601515,0.0621387933174,-0.473367609782,0.340876819781,0.509704223422,0.419966439649,0.468715974023,0.0753213243446,0.291931920392,-0.241283590877,-0.518598589252,0.509060873665,0.568152453887,58460.0,58460.0,0.109743291882,0.395630932955,0.911829246502,0.35922121629,0.898686379878,0.251640434725,0.702022828387,0.478294981248,0.527634209785,2.59871831491e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.123,0.266,0.364,0.0,0.0,0.0,0.123,0.266,0.364,0.143,0.294,0.406,0.0,0.0,0.0,0.143,0.294,0.406,58460.0,0.01,0.001,0.0,7.92899750517e-12,1.17489731835e-11,4.92929208141e-11,6.09111259155e-32,0.0,0.87862,0.0,2.41794271271e-30,0.0,5.61207148382,0.0,0.89634130466,0.0,4.09686085281,5.977e-23,0.0,0.034286292987,5.604e-26,0.0,5.604e-26,3.12768979112e-07,1.12755031204e-06,2.59871831491e-06,8.41695942985e-07,2.10572384274e-06,5.89622002805e-07,1.42692438432e-06,9.72177462101e-07,1.07246387083e-06,0.971422752771,0.958250514336
85,18221.0,18221.0,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,350.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.951,2.83,5.336,1.276,3.619,6.473,0.0,0.834491262214,0.102403699172,0.521319489573,0.0134029548493,0.145547814402,-0.0612348912168,-0.436026379536,0.0662319030486,0.539435915099,0.536835681691,0.471763673707,-0.0586086549548,0.326068464129,-0.161672981286,-0.629462904252,0.513811923406,0.451530717587,18221.0,18221.0,0.127167039359,0.372129193757,0.919428304576,0.634331025941,0.620104997101,0.461620993997,0.0793054531746,0.853451201765,0.515103573374,2.40025149133e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.149,0.256,0.352,0.0,0.0,0.0,0.149,0.256,0.352,0.172,0.29,0.388,0.0,0.0,0.0,0.172,0.29,0.388,18221.0,0.01,0.001,0.0,6.49762475153e-12,1.07936831873e-11,4.97129763533e-11,2.72176661911e-33,0.0,0.81747,0.0,8.21466352871e-31,0.0,1.79541327789,0.0,2.61805927807,0.0,0.677646894662,2.177e-23,0.0,0.034286292987,1.736e-26,0.0,1.736e-26,2.81553964174e-07,8.23911999646e-07,2.03565865206e-06,1.44379588211e-06,1.41141612924e-06,1.05069193051e-06,2.23039151927e-07,2.40025149133e-06,1.4486805076e-06,0.964285948965,0.947979489134
88,65035.0,65035.0,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,350.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.603,2.598,5.893,0.789,3.712,7.053,0.0,0.794165309724,0.282618682909,0.515353245403,0.113344081458,0.104844134566,0.053670926048,-0.508672420711,0.303031093474,0.469966025434,0.0718221521199,0.648473183636,0.0610340628905,0.322409838719,-0.2406870588,-0.532833504555,0.0816754632759,0.73743749153,65035.0,65035.0,0.127817892152,0.38942243078,0.912147332864,0.0747313782026,0.57172342005,0.8170358328,0.39156219216,0.813070998006,0.430806919481,2.20175366479e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.118,0.246,0.37,0.0,0.0,0.0,0.118,0.246,0.37,0.135,0.293,0.405,0.0,0.0,0.0,0.135,0.293,0.405,65035.0,0.01,0.001,0.0,1.1040107062e-18,8.64680701481e-12,4.89071921505e-11,7.8952442936e-33,0.0,0.90925,0.0,9.51485888695e-31,0.0,2.22301867661,0.0,2.52872475968,0.0,2.46184608826,2.066e-23,0.0,0.034286292987,1.911e-26,0.0,1.911e-26,2.79322716133e-07,8.51011773528e-07,1.99333181169e-06,1.37549192399e-07,1.05230355167e-06,1.50382104099e-06,1.06032990194e-06,2.20175366479e-06,1.16660256744e-06,0.97109700413,0.957173684758
115,95765.0,95765.0,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,350.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.812,3.016,5.29,1.16,4.06,6.45,0.0,0.833291004327,0.497924533301,0.186105355038,0.122753966316,-0.0894064976695,0.0779173274366,-0.377339914476,0.633797358778,0.183826608495,0.165925049312,0.623314561881,0.09046849555,0.385985793067,-0.474227003271,-0.238858517425,0.192652778005,0.723720031512,95765.0,95765.0,0.142089811734,0.371235696321,0.917602606349,0.210751678751,0.692959545672,0.689485893957,0.608645177899,0.702723798477,0.368415947639,2.23091733892e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.137,0.265,0.35,0.0,0.0,0.0,0.137,0.265,0.35,0.164,0.307,0.387,0.0,0.0,0.0,0.164,0.307,0.387,95765.0,0.01,0.001,0.0,1.45629709697e-12,9.12900150109e-12,4.92405550127e-11,1.05428322342e-33,0.0,0.80983,0.0,4.64295297355e-31,0.0,2.48964907631,0.0,2.7109438079,0.0,4.83860916361,7.709e-24,0.0,0.034286292987,6.346e-27,0.0,6.346e-27,2.42676067318e-07,6.34035739311e-07,1.5671791605e-06,6.78494981803e-07,2.23091733892e-06,2.21973424765e-06,8.96520526885e-07,1.03509619881e-06,5.42668325461e-07,0.963970759548,0.948235977038
