Unnamed: 0,B_110_elel,B_110_elmu,B_110_mumu,B_90_elel,B_90_elmu,B_90_mumu,MA0,MH0,MHC,Mh,Mtr01,Mtr02,Mtr03,O_110_elel,O_110_elmu,O_110_mumu,O_90_elel,O_90_elmu,O_90_mumu,SR,S_110_elel,S_110_elmu,S_110_mumu,S_90_elel,S_90_elmu,S_90_mumu,U_e1_i,U_e1_r,U_e2_i,U_e2_r,U_e3_i,U_e3_r,U_mu1_i,U_mu1_r,U_mu2_i,U_mu2_r,U_mu3_i,U_mu3_r,U_tau1_i,U_tau1_r,U_tau2_i,U_tau2_r,U_tau3_i,U_tau3_r,Y1e,Y1mu,Y1tau,Y2e,Y2mu,Y2tau,Y3e,Y3mu,Y3tau,Yukawa_max,dB_110_elel,dB_110_elmu,dB_110_mumu,dB_90_elel,dB_90_elmu,dB_90_mumu,dS_110_stat_elel,dS_110_stat_elmu,dS_110_stat_mumu,dS_110_sys_elel,dS_110_sys_elmu,dS_110_sys_mumu,dS_110_tot_elel,dS_110_tot_elmu,dS_110_tot_mumu,dS_90_stat_elel,dS_90_stat_elmu,dS_90_stat_mumu,dS_90_sys_elel,dS_90_sys_elmu,dS_90_sys_mumu,dS_90_tot_elel,dS_90_tot_elmu,dS_90_tot_mumu,index,la2,laL,m_nu_1,m_nu_2,m_nu_3,mu_to_e_gamma,r_exp,r_max,r_obs,tau_to_mu_gamma,theta_1_i,theta_1_r,theta_2_i,theta_2_r,theta_3_i,theta_3_r,xsection1,xsection2,xsection_process,xsectionerror1,xsectionerror2,xsectionerror_process,y1e,y1mu,y1tau,y2e,y2mu,y2tau,y3e,y3mu,y3tau,CLdbQ
4,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,400.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.185,1.764,5.934,0.271,2.331,6.896,0.0,0.783194915328,0.543029994439,0.2696470892,0.0990543496539,0.0959313965515,-0.0205120822514,-0.525711080094,0.471998162403,0.252104379103,0.585160400726,0.307336195226,-0.0228918416432,0.330588570491,-0.534536369857,-0.245643763305,0.653049215827,0.342992555611,0.0713475366905,0.467965593647,0.880861925713,0.569531813452,0.739558322444,0.358729704889,0.396172567294,0.827437033539,0.397989010465,2.48732972519e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.048,0.148,0.271,0.0,0.0,0.0,0.048,0.148,0.271,0.058,0.17,0.292,0.0,0.0,0.0,0.058,0.17,0.292,62311.0,0.01,0.001,3.27043654997e-14,8.97273493708e-12,4.85521488262e-11,1.18577917243e-32,0.0,0.95062,0.0,2.93905708203e-30,0.0,1.24867814806,0.0,2.23633128752,0.0,6.20209653339,4.089e-23,0.0,0.0182304231895,3.567e-26,0.0,3.567e-26,2.01467271599e-07,1.32141564696e-06,2.48732972519e-06,3.43219088572e-07,4.45682800117e-07,2.16182624829e-07,1.04008286586e-06,2.1722934706e-06,1.04485162467e-06,0.949418824073
6,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,400.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.148,2.208,5.675,0.284,2.529,6.501,0.0,0.820737521354,0.310564435009,0.453032585802,0.0342367535308,0.15339156971,-0.0119287206498,-0.491933933309,0.299780369479,0.451420219849,0.235139729059,0.639468164874,-0.0125165498313,0.289986151229,-0.366559752447,-0.519900635681,0.246727056697,0.670980181879,0.0691164985982,0.479331958382,0.874907871318,0.434444368937,0.230113644646,0.870807556724,0.253589474385,0.76645303947,0.590120425649,2.55547916512e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.043,0.165,0.265,0.0,0.0,0.0,0.043,0.165,0.265,0.059,0.177,0.283,0.0,0.0,0.0,0.059,0.177,0.283,132950.0,0.01,0.001,1.78709897158e-15,8.71501560118e-12,4.87389760112e-11,2.86769177664e-33,0.0,0.9071,0.0,5.16576881723e-31,0.0,0.471539425098,0.0,5.7730708538,0.0,2.95595649531,6.291e-24,0.0,0.0182304231895,5.455e-27,0.0,5.455e-27,1.22231110831e-07,8.47688741735e-07,1.54725663416e-06,5.95533464439e-07,3.15438260476e-07,1.19369723305e-06,8.45508576407e-07,2.55547916512e-06,1.96755753451e-06,0.943407456055
13,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,400.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.234,2.467,5.502,0.333,2.776,6.39,0.0,0.822399004926,0.357903628373,0.417176585573,0.12440935366,0.0777873939946,0.0603175779493,-0.458772477591,0.393335366319,0.39656192906,0.151465516635,0.671545774232,0.0622369169027,0.325078523538,-0.372006513944,-0.497499516435,0.156285233806,0.69291473511,0.0987905367088,0.458485075935,0.883194126453,0.34700351795,0.823555686144,0.448714375021,0.331246626381,0.823291304815,0.460941536343,2.35005308115e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.054,0.174,0.261,0.0,0.0,0.0,0.054,0.174,0.261,0.064,0.185,0.281,0.0,0.0,0.0,0.064,0.185,0.281,117381.0,0.01,0.001,8.90711409985e-16,9.02004677804e-12,5.12272046461e-11,9.07825168875e-33,0.0,0.87812,0.0,2.3897845085e-30,0.0,1.59239812716,0.0,5.51467476658,0.0,2.38167026686,3.226e-23,0.0,0.0182304231895,2.627e-26,0.0,2.627e-26,2.62867469594e-07,1.21996312372e-06,2.35005308115e-06,6.74942775061e-07,1.60186548974e-06,8.72776527672e-07,7.26578168727e-07,1.80586137621e-06,1.01105952693e-06,0.941756573786
14,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,400.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.308,1.961,5.749,0.395,2.603,6.661,0.0,0.829605831776,0.41599741315,0.342639570642,0.122767422442,0.0789088128905,0.0299107358941,-0.431191080138,0.371374539307,0.280712028047,0.486289589727,0.599986453243,0.023944411509,0.352647741135,-0.531850500352,-0.458215048882,0.389288919209,0.480306555717,0.100035583052,0.467418536342,0.878358010157,0.689531079443,0.51272217904,0.511529918581,0.262369540259,0.86720069959,0.423231817064,2.84280841911e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.062,0.156,0.266,0.0,0.0,0.0,0.062,0.156,0.266,0.07,0.179,0.287,0.0,0.0,0.0,0.07,0.179,0.287,25143.0,0.01,0.001,2.04549805732e-13,8.99893255662e-12,5.10084577576e-11,7.95772627585e-33,0.0,0.91953,0.0,1.33003810424e-30,0.0,2.06231062399,0.0,5.66282279198,0.0,6.23851167005,1.789e-23,0.0,0.0182304231895,1.435e-26,0.0,1.435e-26,2.2969343334e-07,1.07324778987e-06,2.01681302691e-06,5.43004058745e-07,4.03767476953e-07,4.02828574722e-07,8.60085027977e-07,2.84280841911e-06,1.38741467039e-06,0.945206842108
15,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,400.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.321,2.048,5.823,0.419,2.566,6.723,0.0,0.819783454388,0.397272649379,0.385653358115,0.0187399248356,0.145085604243,-0.0109464244424,-0.506081672499,0.413244369291,0.411461603616,0.169168905358,0.612431088377,-0.0130631488325,0.267480763058,-0.432631367484,-0.407681823606,0.201881317516,0.730857687751,0.0994761563625,0.472174020922,0.875874527705,0.381691317202,0.815321403907,0.435388041526,0.149793809758,0.38412153613,0.911050196224,2.41781651448e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.063,0.159,0.268,0.0,0.0,0.0,0.063,0.159,0.268,0.072,0.178,0.288,0.0,0.0,0.0,0.072,0.178,0.288,103671.0,0.01,0.001,8.32729454516e-17,8.56521163479e-12,4.84294284633e-11,4.41229164051e-32,0.0,0.93196,0.0,2.88346270762e-30,0.0,4.18979272512,0.0,4.02819274174,0.0,4.36000959174,3.735e-23,0.0,0.0182304231895,3.13e-26,0.0,3.13e-26,2.74599941021e-07,1.30341745236e-06,2.41781651448e-06,9.17514222739e-07,1.95987949024e-06,1.04659106065e-06,1.36772431409e-07,3.50730357535e-07,8.31853804068e-07,0.948283833618
16,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,400.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.234,2.406,5.86,0.358,2.862,6.859,0.0,0.789774093846,0.0555831733656,0.590762161784,0.01650395735,0.154580332266,-0.054258799229,-0.468473089697,0.00278140249767,0.4647499778,0.493875299929,0.563627409722,-0.0466003368624,0.389453766485,-0.096332415666,-0.650100274319,0.42416632273,0.484073137097,0.100320410042,0.479843029117,0.871599955677,0.746956796801,0.568822866758,0.34423261026,0.212511237485,0.808276822879,0.549115244315,2.70523035839e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.054,0.172,0.269,0.0,0.0,0.0,0.054,0.172,0.269,0.066,0.188,0.291,0.0,0.0,0.0,0.066,0.188,0.291,106881.0,0.01,0.001,2.96995299981e-13,8.47124743183e-12,4.94080979988e-11,3.85398164031e-33,0.0,0.93818,0.0,7.68517388836e-31,0.0,2.23675721079,0.0,5.76218040614,0.0,3.0130393724,9.867e-24,0.0,0.0182304231895,8.317e-27,0.0,8.317e-27,1.98527324262e-07,9.49576986345e-07,1.72483751766e-06,8.01607781013e-07,6.1044070817e-07,3.69418338576e-07,7.11256137588e-07,2.70523035839e-06,1.83783969443e-06,0.951749675381
17,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,400.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.345,2.467,5.934,0.53,2.837,6.809,0.0,0.80284495556,0.0973340292515,0.567280871894,-0.0218898729892,0.153880830273,-0.0348434847339,-0.462106978963,0.0519135304134,0.450275981672,0.169627617482,0.742311301707,-0.0287973954465,0.373970264745,-0.135397653497,-0.667040103929,0.140193600513,0.613504425946,0.0993855500309,0.484480525095,0.869138155444,0.375706383258,0.818082921858,0.435413649928,0.918047938148,0.307066555044,0.250794964134,6.65440001957e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.065,0.174,0.271,0.0,0.0,0.0,0.065,0.174,0.271,0.081,0.187,0.29,0.0,0.0,0.0,0.081,0.187,0.29,114165.0,0.01,0.001,1.75008746673e-10,1.75225924259e-10,1.82175223189e-10,5.71626196448e-31,0.0,0.95062,0.0,6.83616290245e-29,0.0,5.35763323804,0.0,3.33067676517,0.0,4.95732689554,1.147e-21,0.0,0.0182304231895,1.016e-24,0.0,1.016e-24,6.45825904375e-07,3.14824512391e-06,5.64782239562e-06,2.56196448165e-06,5.57855677264e-06,2.96911193328e-06,6.65440001957e-06,2.22574835691e-06,1.81786804903e-06,0.95518314818
18,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,400.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.247,2.282,5.724,0.358,2.936,6.563,0.0,0.825523539567,0.224108983595,0.492675020023,0.1227327919,0.102440399895,0.0463398680242,-0.457468842642,0.238013543037,0.449864606013,0.273813782797,0.674219753924,0.0424748902656,0.324471329952,-0.251556215449,-0.620271995316,0.250976337944,0.617986439838,0.0996479557168,0.481230295688,0.870911986043,0.308775911438,0.84718541829,0.432358998463,0.163749019767,0.366819449502,0.915767301225,2.49374261597e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.055,0.168,0.266,0.0,0.0,0.0,0.055,0.168,0.266,0.066,0.19,0.285,0.0,0.0,0.0,0.066,0.19,0.285,94717.0,0.01,0.001,5.18858400064e-17,8.62801658835e-12,4.84247310304e-11,9.03992701842e-33,0.0,0.91539,0.0,1.90852937399e-31,0.0,0.305190104195,0.0,5.98490842205,0.0,4.12633300793,8.93e-25,0.0,0.0182304231895,7.892e-28,0.0,7.892e-28,1.08161797956e-07,5.22346230167e-07,9.45322014829e-07,9.08900970809e-07,2.49374261597e-06,1.27267542215e-06,3.83637302603e-07,8.59398269069e-07,2.14549374252e-06,0.946456757054
23,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,400.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.407,2.085,5.872,0.555,2.603,6.797,0.0,0.806394883607,0.304562867898,0.487547655416,0.0238578972659,0.136736372727,-0.0624053705254,-0.464654672747,0.25389443276,0.490405827581,0.610823669561,0.319586906516,-0.0643609234507,0.354664021361,-0.357886325343,-0.486308402783,0.62996461855,0.3296015752,0.122239097621,0.467900200274,0.875286813334,0.244414759792,0.768127839693,0.591811665214,0.363290766107,0.826983010365,0.429090806041,2.27661425967e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.071,0.16,0.269,0.0,0.0,0.0,0.071,0.16,0.269,0.083,0.179,0.29,0.0,0.0,0.0,0.083,0.179,0.29,48517.0,0.01,0.001,7.54593458158e-18,9.03739482536e-12,4.88270842099e-11,2.52703845226e-32,0.0,0.94025,0.0,2.17988067002e-30,0.0,1.75646577329,0.0,2.3731025514,0.0,5.79277886681,2.945e-23,0.0,0.0182304231895,2.366e-26,0.0,2.366e-26,3.17942951379e-07,1.21700481696e-06,2.27661425967e-06,2.98599177707e-07,9.38414445598e-07,7.23010659179e-07,9.72570432059e-07,2.21392696631e-06,1.14872457424e-06,0.950635991873
24,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,400.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.382,2.319,5.564,0.469,2.8,6.439,0.0,0.832265536408,0.0895485207202,0.528915993583,-0.00190923953446,-0.139854802853,0.0520657183759,-0.304351644556,0.136747159278,0.606655281566,0.446270928494,0.564598157616,0.0492012944406,0.457790942417,-0.0638224683342,-0.56694374543,0.421719089605,0.533536481586,0.122148777689,0.471508313494,0.873361085929,0.170225035075,0.914257667485,0.367636171886,0.371600549465,0.575736831225,0.728313210651,2.15252811452e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.069,0.169,0.262,0.0,0.0,0.0,0.069,0.169,0.262,0.076,0.186,0.282,0.0,0.0,0.0,0.076,0.186,0.282,45133.0,0.01,0.001,9.52474706081e-13,8.62313566228e-12,4.92921265671e-11,6.11915396998e-33,0.0,0.88847,0.0,6.04524728886e-31,0.0,2.68678587565,0.0,5.77582597078,0.0,2.43688355572,6.793e-24,0.0,0.0182304231895,5.498e-27,0.0,5.498e-27,2.20168839228e-07,8.49877010907e-07,1.5742023797e-06,4.00777796923e-07,2.15252811452e-06,8.65562547672e-07,9.90548189364e-07,1.5346992262e-06,1.94141083252e-06,0.94262390098
