Unnamed: 0,Unnamed: 0.1,B_110_elel,B_110_elmu,B_110_mumu,B_90_elel,B_90_elmu,B_90_mumu,MA0,MH0,MHC,Mh,Mtr01,Mtr02,Mtr03,O_110_elel,O_110_elmu,O_110_mumu,O_90_elel,O_90_elmu,O_90_mumu,SR,S_110_elel,S_110_elmu,S_110_mumu,S_90_elel,S_90_elmu,S_90_mumu,U_e1_i,U_e1_r,U_e2_i,U_e2_r,U_e3_i,U_e3_r,U_mu1_i,U_mu1_r,U_mu2_i,U_mu2_r,U_mu3_i,U_mu3_r,U_tau1_i,U_tau1_r,U_tau2_i,U_tau2_r,U_tau3_i,U_tau3_r,Unnamed: 0.1.1,Unnamed: 0.1.1,Y1e,Y1mu,Y1tau,Y2e,Y2mu,Y2tau,Y3e,Y3mu,Y3tau,Yukawa_max,dB_110_elel,dB_110_elmu,dB_110_mumu,dB_90_elel,dB_90_elmu,dB_90_mumu,dS_110_stat_elel,dS_110_stat_elmu,dS_110_stat_mumu,dS_110_sys_elel,dS_110_sys_elmu,dS_110_sys_mumu,dS_110_tot_elel,dS_110_tot_elmu,dS_110_tot_mumu,dS_90_stat_elel,dS_90_stat_elmu,dS_90_stat_mumu,dS_90_sys_elel,dS_90_sys_elmu,dS_90_sys_mumu,dS_90_tot_elel,dS_90_tot_elmu,dS_90_tot_mumu,index,la2,laL,level_0,m_nu_1,m_nu_2,m_nu_3,mu_to_e_gamma,r_exp,r_max,r_obs,tau_to_mu_gamma,theta_1_i,theta_1_r,theta_2_i,theta_2_r,theta_3_i,theta_3_r,xsection1,xsection2,xsection_process,xsectionerror1,xsectionerror2,xsectionerror_process,y1e,y1mu,y1tau,y2e,y2mu,y2tau,y3e,y3mu,y3tau,CLdb,CLdbQ
17,44981.0,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,450.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.163,1.428,5.738,0.204,1.673,6.323,0.0,0.80840604897,0.569591247531,0.0325210986731,0.136778995203,0.0477425945854,-0.00346156968141,-0.458686469301,0.455613902534,0.0284604277412,0.728795314416,0.223736688926,-0.00286383926479,0.368871520763,-0.681727669087,-0.0368991863024,0.602949768316,0.185102705908,44981.0,44981.0,0.0703467234016,0.56855847256,0.819629551558,0.389040879134,0.780579194773,0.489227263191,0.388382384663,0.885671120516,0.254451939602,2.34944820668e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.033,0.099,0.198,0.0,0.0,0.0,0.033,0.099,0.198,0.037,0.107,0.207,0.0,0.0,0.0,0.037,0.107,0.207,44981.0,0.01,0.001,0.0,2.90791669274e-13,9.0052408684e-12,4.94898690592e-11,1.88822110587e-32,0.0,0.94147,0.0,3.58301166275e-30,0.0,1.42680290953,0.0,2.27917852509,0.0,0.358828208029,2.779e-23,0.0,0.0100479268724,2.097e-26,0.0,2.097e-26,1.96098789471e-07,1.58491572629e-06,2.2848024059e-06,3.41343795484e-07,6.84878837445e-07,4.29247155835e-07,1.03027441678e-06,2.34944820668e-06,6.74992826722e-07,0.9583666664,0.941292166622
18,110530.0,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,450.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.109,1.401,6.187,0.15,1.639,6.881,0.0,0.839644320779,0.367230670819,0.371920845573,0.0907244220709,0.11654618339,-0.0609708480652,-0.458455152057,0.409014071148,0.468256373883,0.631463711598,0.0282571777591,-0.0733743244269,0.275163682811,-0.441085519907,-0.381711332145,0.759924204909,0.0340056173414,110530.0,110530.0,0.0705634946022,0.574701321607,0.815315389388,0.501167956136,0.801403674497,0.326470259359,0.465557145067,0.710340938217,0.527894209261,2.66700636189e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.027,0.098,0.205,0.0,0.0,0.0,0.027,0.098,0.205,0.032,0.106,0.216,0.0,0.0,0.0,0.032,0.106,0.216,110530.0,0.01,0.001,0.0,2.16349943938e-13,8.97392990193e-12,4.96107065889e-11,7.2039613238e-32,0.0,1.0178,0.0,6.56307134161e-30,0.0,4.1253479444,0.0,4.35985600979,0.0,3.85032609345,5.269e-23,0.0,0.0100479268724,3.845e-26,0.0,3.845e-26,2.30822687111e-07,1.87992536491e-06,2.66700636189e-06,8.12881364803e-07,1.29985587607e-06,5.29526253118e-07,5.14840489765e-07,7.85536814131e-07,5.83776483982e-07,0.969236829009,0.956921996744
19,46340.0,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,450.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.116,1.584,6.303,0.184,1.917,6.955,0.0,0.825722198013,0.464541782128,0.28238156014,0.120342744878,0.090344134368,-0.00522314121739,-0.489943266155,0.476290692144,0.293547652534,0.558276952466,0.367739189318,-0.00569044694701,0.279425813531,-0.536561861418,-0.321776177321,0.608225059887,0.400640200993,46340.0,46340.0,0.0701697145501,0.579020918086,0.81228750303,0.477904355052,0.74962624326,0.457895100256,0.879863251517,0.410632992888,0.239209539489,3.05659073538e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.028,0.104,0.207,0.0,0.0,0.0,0.028,0.104,0.207,0.035,0.114,0.217,0.0,0.0,0.0,0.035,0.114,0.217,46340.0,0.01,0.001,0.0,3.52751334703e-11,3.62816168217e-11,5.96309789801e-11,1.61444235959e-31,0.0,1.03748,0.0,1.05607722537e-29,0.0,4.71618683395,0.0,1.38277162186,0.0,1.80206124493,9.227e-23,0.0,0.0100479268724,6.744e-26,0.0,6.744e-26,2.64044563775e-07,2.17882211311e-06,3.05659073538e-06,1.47125298283e-06,2.30776270345e-06,1.40965346926e-06,2.86337229629e-06,1.33633849777e-06,7.78468662262e-07,0.971562533742,0.958673391984
22,60374.0,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,450.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.122,1.659,6.316,0.17,1.883,6.786,0.0,0.783657220286,0.254281673968,0.548234629736,0.0896141146496,0.112384574531,0.00349102111741,-0.532149797008,0.227106665389,0.483246629498,0.385461784031,0.532089162625,0.00393195868038,0.320422076503,-0.246057105228,-0.537708824202,0.434147991864,0.599295315427,60374.0,60374.0,0.0706321744302,0.591500991355,0.803204627204,0.145011583329,0.649281881355,0.746595391926,0.609285268754,0.746737673545,0.266747648888,2.11007701901e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.029,0.106,0.207,0.0,0.0,0.0,0.029,0.106,0.207,0.034,0.113,0.215,0.0,0.0,0.0,0.034,0.113,0.215,60374.0,0.01,0.001,0.0,2.99027163981e-15,8.8841122348e-12,5.10737016694e-11,3.58434139683e-32,0.0,1.0398,0.0,3.28831926674e-30,0.0,3.47307345978,0.0,0.838522103452,0.0,1.30860605818,2.192e-23,0.0,0.0100479268724,1.721e-26,0.0,1.721e-26,1.85555863375e-07,1.55391615823e-06,2.11007701901e-06,3.3870117371e-07,1.51651702736e-06,1.74381059586e-06,1.05406220385e-06,1.29185456837e-06,4.61472858576e-07,0.972126864783,0.959165323672
43,122307.0,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,450.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.163,1.543,5.908,0.238,1.775,6.446,0.0,0.81055930983,0.0944929778326,0.558206100001,0.0954006469307,0.11562590054,-0.043176377736,-0.493996037826,0.063219851585,0.554148358429,0.629277580742,0.216878511174,-0.0474248882543,0.307974349971,-0.133813740706,-0.592025132132,0.691197838088,0.238219130379,122307.0,122307.0,0.100182283377,0.570576746977,0.815110842712,0.372156451548,0.737590842125,0.563435289261,0.0673422686413,0.58353408468,0.809291659954,2.24620754942e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.033,0.102,0.2,0.0,0.0,0.0,0.033,0.102,0.2,0.04,0.11,0.209,0.0,0.0,0.0,0.04,0.11,0.209,122307.0,0.01,0.001,0.0,2.80519833524e-15,8.7109167725e-12,4.9238144506e-11,5.83272438109e-32,0.0,0.97037,0.0,3.48851273733e-30,0.0,1.38442210056,0.0,2.28942603472,0.0,1.72564901246,2.654e-23,0.0,0.0100479268724,1.924e-26,0.0,1.924e-26,2.76073129504e-07,1.57234296175e-06,2.24620754942e-06,9.57769933011e-07,1.89824018504e-06,1.45003902796e-06,2.73746789871e-08,2.37207010819e-07,3.28977622007e-07,0.963151329823,0.94714005789
44,43429.0,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,450.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.136,1.564,6.133,0.197,1.89,6.765,0.0,0.812041150793,0.535667328806,0.166746057357,0.149401574283,-0.0593683773268,0.0849208363577,-0.439377412956,0.540498484417,0.106803288519,0.519895629857,0.475288249903,0.0833465763121,0.365210156174,-0.570225089653,-0.237810971656,0.510257819479,0.466477369864,43429.0,43429.0,0.0994324980171,0.574693747304,0.812305530665,0.575024414902,0.676294164407,0.460405392513,0.254138893138,0.785949733905,0.563645667746,2.14253080665e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.03,0.103,0.204,0.0,0.0,0.0,0.03,0.103,0.204,0.037,0.113,0.214,0.0,0.0,0.0,0.037,0.113,0.214,43429.0,0.01,0.001,0.0,1.83917930737e-17,8.81075337608e-12,4.94772564055e-11,3.14345809347e-32,0.0,1.00854,0.0,2.45196755195e-30,0.0,3.78633065758,0.0,0.796959529404,0.0,3.02480887927,1.925e-23,0.0,0.0100479268724,1.398e-26,0.0,1.398e-26,2.52874164846e-07,1.46154631826e-06,2.0658344783e-06,7.47818652527e-07,8.79519856257e-07,5.98756733319e-07,6.92792915662e-07,2.14253080665e-06,1.53652091868e-06,0.968176504582,0.954059897902
45,79804.0,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,450.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.238,1.36,6.242,0.272,1.591,6.819,0.0,0.824908501976,0.414699882468,0.354506057469,0.124711531345,0.0795138982537,0.0672941579489,-0.406477546731,0.378476901423,0.264988502496,0.191197953499,0.761726441396,0.0515073660324,0.38356284351,-0.508710216032,-0.479687093258,0.146344099929,0.583030144509,79804.0,79804.0,0.09982094822,0.578635568666,0.809454542869,0.263191603446,0.845097927377,0.465338235071,0.479241824866,0.838354089263,0.259787787076,2.30098666673e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.04,0.096,0.206,0.0,0.0,0.0,0.04,0.096,0.206,0.043,0.104,0.215,0.0,0.0,0.0,0.043,0.104,0.215,79804.0,0.01,0.001,0.0,2.39930055962e-17,8.6282960034e-12,5.07972977748e-11,6.63662156653e-33,0.0,1.02706,0.0,2.31589803363e-30,0.0,1.1399363938,0.0,2.46503319582,0.0,4.37807073862,1.568e-23,0.0,0.0100479268724,1.14e-26,0.0,1.14e-26,2.41162185171e-07,1.39795324173e-06,1.9555997998e-06,7.16603781297e-07,2.30098666673e-06,1.26699763392e-06,6.5503721083e-07,1.14587896094e-06,3.55083088797e-07,0.971169662508,0.958666031424
47,47084.0,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,450.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.17,1.707,6.167,0.211,1.972,6.887,0.0,0.81703400653,0.52084140518,0.205140160754,0.106782675271,0.0877190830527,0.012877996508,-0.509783519176,0.554658987454,0.208976697734,0.402875645146,0.475739721666,0.015897707542,0.268621696539,-0.534700186984,-0.222305201413,0.497344379488,0.587294068333,47084.0,47084.0,0.100055357534,0.587604084905,0.802938580983,0.563791585889,0.695034897396,0.446167613216,0.537529244177,0.807860899657,0.241708664427,2.71907465849e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.034,0.108,0.205,0.0,0.0,0.0,0.034,0.108,0.205,0.038,0.116,0.216,0.0,0.0,0.0,0.038,0.116,0.216,47084.0,0.01,0.001,0.0,2.74396592981e-14,8.8858681773e-12,4.9392669642e-11,1.49176383267e-31,0.0,1.01433,0.0,7.61155593859e-30,0.0,0.923366997437,0.0,4.91433246802,0.0,3.48968217466,6.052e-23,0.0,0.0100479268724,4.473e-26,0.0,4.473e-26,3.38827892396e-07,1.98986499632e-06,2.71907465849e-06,7.22585601268e-07,8.90794083856e-07,5.71832395394e-07,6.0704449472e-07,9.12336429969e-07,2.72967314162e-07,0.969524024883,0.955671654999
69,52294.0,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,450.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.177,1.605,5.847,0.258,1.877,6.412,0.0,0.794214986447,0.552082653882,0.209051649367,0.10185950497,-0.101731743964,0.0666408504902,-0.492070860287,0.578110551387,0.165941218824,0.584973062477,0.22244883445,0.0816237961219,0.340566258916,-0.478713700928,-0.246144360068,0.716493286583,0.272462283676,52294.0,52294.0,0.122465762318,0.559027267966,0.820055272973,0.438732190796,0.867402366954,0.234791819624,0.377790994242,0.117318093526,0.918428238678,2.53066085782e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.035,0.104,0.199,0.0,0.0,0.0,0.035,0.104,0.199,0.042,0.113,0.209,0.0,0.0,0.0,0.042,0.113,0.209,52294.0,0.01,0.001,0.0,2.70798153001e-14,8.47390655686e-12,5.02262678129e-11,1.27515023175e-31,0.0,0.95996,0.0,5.21550771147e-30,0.0,2.64456064041,0.0,2.06021579849,0.0,4.14548526732,4.172e-23,0.0,0.0100479268724,3.445e-26,0.0,3.445e-26,3.77924904988e-07,1.72513789268e-06,2.53066085782e-06,8.21864573772e-07,1.62488026081e-06,4.39828858717e-07,4.83530512718e-07,1.50154129607e-07,1.17548613893e-06,0.961940071617,0.94550423346
71,13070.0,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,450.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.184,1.537,5.704,0.245,1.754,6.398,0.0,0.830193334482,0.432789326882,0.316004543232,0.147484799625,-0.0431484467266,0.0531403486549,-0.470646364383,0.487933386793,0.313796597264,0.616323299448,0.243446912477,0.0587796401313,0.288083467637,-0.472093741202,-0.391681927475,0.681727964966,0.269281671436,13070.0,13070.0,0.122623843001,0.56959772979,0.812724934615,0.143846597346,0.440179657139,0.886312600538,0.364577612025,0.860149156994,0.356688368933,2.27305619901e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.035,0.102,0.197,0.0,0.0,0.0,0.035,0.102,0.197,0.041,0.109,0.209,0.0,0.0,0.0,0.041,0.109,0.209,13070.0,0.01,0.001,0.0,1.10900311643e-16,8.66539475442e-12,5.13660388164e-11,1.71858110544e-32,0.0,0.93569,0.0,6.91725388498e-31,0.0,3.34368094677,0.0,0.494580000516,0.0,4.00280245151,3.741e-24,0.0,0.0100479268724,2.769e-27,0.0,2.769e-27,2.07060776851e-07,9.61814158949e-07,1.37235510003e-06,3.68912051578e-07,1.12889413705e-06,2.27305619901e-06,9.46478751902e-07,2.23303042674e-06,9.25997513589e-07,0.957873677016,0.940253389399
