,Unnamed: 0,Unnamed: 0.1,B_110_elel,B_110_elmu,B_110_full,B_110_mumu,B_110_nm,B_90_elel,B_90_elmu,B_90_mumu,CLs_110_elel,CLs_110_elmu,CLs_110_full,CLs_110_mumu,CLs_110_nm,MA0,MH0,MHC,Mh,Mtr01,Mtr02,Mtr03,O_110_elel,O_110_elmu,O_110_full,O_110_mumu,O_110_nm,O_90_elel,O_90_elmu,O_90_mumu,SR,S_110_elel,S_110_elmu,S_110_full,S_110_mumu,S_110_nm,S_90_elel,S_90_elmu,S_90_mumu,U_e1_i,U_e1_r,U_e2_i,U_e2_r,U_e3_i,U_e3_r,U_mu1_i,U_mu1_r,U_mu2_i,U_mu2_r,U_mu3_i,U_mu3_r,U_tau1_i,U_tau1_r,U_tau2_i,U_tau2_r,U_tau3_i,U_tau3_r,Unnamed: 0.1.1,Y1e,Y1mu,Y1tau,Y2e,Y2mu,Y2tau,Y3e,Y3mu,Y3tau,Yukawa_max,dB_110_elel,dB_110_elmu,dB_110_full,dB_110_mumu,dB_110_nm,dB_90_elel,dB_90_elmu,dB_90_mumu,dS_110_full,dS_110_nm,dS_110_stat_elel,dS_110_stat_elmu,dS_110_stat_mumu,dS_110_sys_elel,dS_110_sys_elmu,dS_110_sys_mumu,dS_110_tot_elel,dS_110_tot_elmu,dS_110_tot_mumu,dS_90_stat_elel,dS_90_stat_elmu,dS_90_stat_mumu,dS_90_sys_elel,dS_90_sys_elmu,dS_90_sys_mumu,dS_90_tot_elel,dS_90_tot_elmu,dS_90_tot_mumu,index,la2,laL,level_0,m_nu_1,m_nu_2,m_nu_3,mu_to_e_gamma,r_exp,r_max,r_obs,tau_to_mu_gamma,theta_1_i,theta_1_r,theta_2_i,theta_2_r,theta_3_i,theta_3_r,xsection1,xsection2,xsection_process,xsectionerror1,xsectionerror2,xsectionerror_process,y1e,y1mu,y1tau,y2e,y2mu,y2tau,y3e,y3mu,y3tau,CLs,CL
0,0,0,6.1,4.4,16.8,6.3,12.4,16.6,20.7,22.4,0.4206303724928368,0.7364317841079461,0.40557620817843865,0.918153846153846,0.4416475972540046,700.0,70.0,700.0,125.09,400.0,1500.0,2500.0,4.0,5.0,13.0,4.0,8.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_elel,2.109,1.295,3.7,0.29600000000000004,2.405,2.529,1.628,0.382,0.0,0.8403717938093149,0.506884568909624,0.13132273649266685,0.061452434609922474,0.125782427753679,-0.04341022640582642,-0.4608632759313361,0.5667412092944865,0.1747713882950795,0.5667210077679451,0.3358679145386629,-0.04871037477503106,0.2777105340101851,-0.5989568659362154,-0.12382410488302542,0.6359145060242024,0.3768755278800052,81479.0,0.3172749649839564,0.07798475268352296,0.9451216720313416,0.3393317508157124,0.14298538076836478,0.9297360613501388,0.2068495862388036,0.7480020032572235,0.6306395577475428,2.6972455245234267e-06,2.2,2.0,3.82099463490856,2.4,3.2557641192199416,2.3,3.2,3.3,0.2130657175615073,0.17181676286090367,0.161,0.126,0.06,0.0,0.0,0.0,0.161,0.126,0.06,0.177,0.142,0.069,0.0,0.0,0.0,0.177,0.142,0.069,81479.0,0.01,0.001,0.0,1.1167674960075833e-13,8.747511916936732e-12,4.928780761797211e-11,1.9187087051592633e-33,0.0,0.32718,0.0,1.6507971478968532e-32,0.0,2.400122002569264,0.0,2.8585547151713544,0.0,6.011348584739945,2.144e-24,0.0,0.01823042318946096,1.857e-27,0.0,1.857e-27,4.285713418468085e-07,1.0534089918774077e-07,1.276659389786564e-06,4.588807947790538e-07,1.9336017042627628e-07,1.2572888382578779e-06,7.458858643461094e-07,2.6972455245234267e-06,2.27404434388534e-06,0.22865165128040923,0.7713483487195908
1,1,1,6.1,4.4,16.8,6.3,12.4,16.6,20.7,22.4,0.8439238653001464,0.7282127031019202,0.384,0.44202682563338297,0.4689655172413793,700.0,70.0,700.0,125.09,400.0,1500.0,2500.0,4.0,5.0,13.0,4.0,8.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.37,1.332,3.737,2.035,2.405,0.469,1.6780000000000002,2.43,0.0,0.7957354640177292,0.2293952218917044,0.5369917028764534,0.13230136424146893,0.09120944873990786,0.022190287350356133,-0.5249638123703588,0.2274027998806065,0.490876007296532,0.4264853320325179,0.4993591497880819,0.024898305970537132,0.30017616912935313,-0.2208634016246507,-0.563529780140293,0.478531986595538,0.5602990490527114,78771.0,0.05769218967757118,0.31884154300097256,0.9460505703750548,0.913662712234328,0.4045783685148532,0.03920193875908868,0.1758774761574717,0.8419898737822152,0.510019770037091,2.627291939680011e-06,2.2,2.0,3.82099463490856,2.4,3.2557641192199416,2.3,3.2,3.3,0.21441082062246766,0.17201162751395616,0.068,0.128,0.158,0.0,0.0,0.0,0.068,0.128,0.158,0.076,0.14400000000000002,0.173,0.0,0.0,0.0,0.076,0.14400000000000002,0.173,78771.0,0.01,0.001,0.0,7.158749396756811e-12,1.1297934646004468e-11,5.152609706711893e-11,1.2120879546053005e-32,0.0,0.30346,0.0,1.094522875488993e-30,0.0,5.343723218000652,0.0,3.841298228881241,0.0,6.066022093746911,2.745e-23,0.0,0.018230423189460984,2.424e-26,0.0,2.424e-26,1.4746406665273193e-07,8.149746232813599e-07,2.41815166223234e-06,1.4858968039631059e-06,6.579689601852194e-07,6.375441914318577e-08,5.487969509705865e-07,2.627291939680011e-06,1.5914334276690975e-06,0.22711336443675453,0.7728866355632454
2,2,2,6.1,4.4,16.8,6.3,12.4,16.6,20.7,22.4,0.9254038179148312,0.7598187311178247,0.3492173913043479,0.3728658536585366,0.3928251121076233,700.0,70.0,700.0,125.09,400.0,1500.0,2500.0,4.0,5.0,13.0,4.0,8.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.308,1.357,4.045999999999999,2.381,2.6889999999999996,0.407,1.6780000000000002,2.948,0.0,0.8201359662402433,0.07127099787747634,0.5468871024424282,0.10207553691694486,0.11310403921157525,0.0007011692905918393,-0.4992275640732005,0.07279151515583265,0.5549058982691839,0.4390963857152295,0.4947186585023603,0.0007783901756877558,0.2795491703065512,-0.07941640713238139,-0.6134401484327919,0.4874547664976047,0.5492028083298163,51201.0,0.06854863700009743,0.3239380776734144,0.943591652251482,0.3721201765283776,0.7993445405782412,0.4717784222156093,0.5465171442452531,0.6878453339316419,0.4776900748754167,2.3399555029199e-06,2.2,2.0,3.82099463490856,2.4,3.2557641192199416,2.3,3.2,3.3,0.2229932734411512,0.1818928255869373,0.062,0.129,0.171,0.0,0.0,0.0,0.062,0.129,0.171,0.071,0.14400000000000002,0.191,0.0,0.0,0.0,0.071,0.14400000000000002,0.191,51201.0,0.01,0.001,0.0,9.399662692393553e-12,1.2675903243598881e-11,5.224786529966601e-11,8.4218798819563e-33,0.0,0.35977,0.0,9.764929730432019e-31,0.0,5.087196754520497,0.0,0.6146771655061969,0.0,2.4660170569796738,2.432e-23,0.0,0.01823042318946097,2.1250000000000003e-26,0.0,2.1250000000000003e-26,1.6998959240822888e-07,8.033143210291788e-07,2.3399555029199e-06,8.546146414718476e-07,1.8357820700073144e-06,1.0834906908768491e-06,1.5877056104806947e-06,1.998282958413743e-06,1.3877537419215728e-06,0.18791349477378283,0.8120865052262172
3,3,3,6.1,4.4,16.8,6.3,12.4,16.6,20.7,22.4,0.8916913946587536,0.7503736920777279,0.339622641509434,0.3597615499254843,0.4125628140703518,700.0,70.0,700.0,125.09,400.0,1500.0,2500.0,4.0,5.0,13.0,4.0,8.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.407,1.382,4.207,2.418,2.825,0.481,1.739,2.924,0.0,0.8263283337841308,0.5139359624778437,0.17374276163668412,0.1315444438123055,-0.07457092823938866,0.07599678194070839,-0.4492608894288893,0.6056018771178806,0.15206341961330544,0.4862600443868307,0.4075087660946012,0.0908023673913386,0.3183167561186344,-0.5102721049877855,-0.23543309234041945,0.580992537718105,0.4868990468962498,70910.0,0.07231751092776192,0.344473416415378,0.9360065400392942,0.14402672264849226,0.4980303762048761,0.8551152247155723,0.3825433511807578,0.8451088377377511,0.37343223862562136,2.399284096622244e-06,2.2,2.0,3.82099463490856,2.4,3.2557641192199416,2.3,3.2,3.3,0.2283221408449036,0.1870026737776762,0.071,0.131,0.173,0.0,0.0,0.0,0.071,0.131,0.173,0.077,0.146,0.19,0.0,0.0,0.0,0.077,0.146,0.19,70910.0,0.01,0.001,0.0,1.845773908524768e-13,8.544858646242053e-12,5.053485856709943e-11,5.755311795894175e-34,0.0,0.36583,0.0,2.2845976117362387e-31,0.0,5.911076078734242,0.0,0.35381806041994424,0.0,2.2021463340450107,1.933e-24,0.0,0.01823042318946097,1.546e-27,0.0,1.546e-27,9.522272877053707e-08,4.535789227141333e-07,1.2324690900747644e-06,4.041104814314239e-07,1.3973746773840971e-06,2.399284096622244e-06,9.666950429419322e-07,2.135607694306714e-06,9.436710711082807e-07,0.1766999679400202,0.8233000320599798
4,4,4,6.1,4.4,16.8,6.3,12.4,16.6,20.7,22.4,0.8649789029535865,0.5949640287769783,0.2321070234113713,0.24433962264150946,0.28741418764302057,700.0,70.0,700.0,125.09,400.0,1500.0,2500.0,4.0,5.0,13.0,4.0,8.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.333,1.653,5.206,3.22,3.5530000000000004,0.481,1.937,3.849,0.0,0.8334309719531118,0.2084976893818748,0.4887618410147416,0.09824785482651023,0.11567519311235253,0.014101725865288526,-0.4978064181742909,0.24626244611589784,0.5543761200441223,0.3118972106000602,0.5354735908799277,0.017523092225490512,0.2389051434780164,-0.22170182365221933,-0.5481886562465692,0.3875698363752208,0.6653904073117909,77993.0,0.06955451973633668,0.3631879930157027,0.9291160586888344,0.34970326618537995,0.8091641968321351,0.4721873867272219,0.3922562247471117,0.8497918992271036,0.3521204086035563,2.524870211230471e-06,2.2,2.0,3.82099463490856,2.4,3.2557641192199416,2.3,3.2,3.3,0.2532706062692629,0.20903827400741715,0.064,0.14300000000000002,0.199,0.0,0.0,0.0,0.064,0.14300000000000002,0.199,0.077,0.155,0.218,0.0,0.0,0.0,0.077,0.155,0.218,77993.0,0.01,0.001,0.0,6.413115371060914e-16,8.658437709874482e-12,4.935213232063163e-11,6.267584993059335e-33,0.0,0.49773,0.0,1.9709329551433098e-30,0.0,4.631534239073273,0.0,0.827093116979305,0.0,4.40376969782415,3.507e-23,0.0,0.01823042318946097,2.816e-26,0.0,2.816e-26,1.8901420688664802e-07,9.86962324099746e-07,2.524870211230471e-06,8.755386057749254e-07,2.025873250957395e-06,1.182197383368166e-06,3.6333399400692407e-07,7.871341876600431e-07,3.261575122530218e-07,0.10192713771112505,0.898072862288875
5,5,5,6.1,4.4,16.8,6.3,12.4,16.6,20.7,22.4,0.8678720445062588,0.6527392257121987,0.2156996587030717,0.23826815642458105,0.24375,700.0,70.0,700.0,125.09,400.0,1500.0,2500.0,4.0,5.0,13.0,4.0,8.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.321,1.727,5.49,3.442,3.763,0.395,2.122,4.083,0.0,0.8319865373301628,0.2048291913889672,0.4907707909966966,0.06823883742993989,0.1425864503625583,0.02722023041749446,-0.4869176162765242,0.23806487677683544,0.5252304011038639,0.0871809504796896,0.6496367570347049,0.030668782631092018,0.26273203361771164,-0.2206671591703255,-0.5796146807359361,0.09822597306579696,0.7319397442668234,96377.0,0.07232421134177673,0.3825672053229537,0.9210925805070708,0.5207089378588683,0.564107322927036,0.6408159878264446,0.29912314452452204,0.7831750312089965,0.5451258706946032,2.4518324762712966e-06,2.2,2.0,3.82099463490856,2.4,3.2557641192199416,2.3,3.2,3.3,0.2602325882744127,0.2154181979313725,0.063,0.146,0.206,0.0,0.0,0.0,0.063,0.146,0.206,0.07,0.162,0.224,0.0,0.0,0.0,0.07,0.162,0.224,96377.0,0.01,0.001,0.0,2.630414922707525e-16,8.702292269560677e-12,4.9707375524575435e-11,1.878057489217913e-33,0.0,0.53446,0.0,1.1096929084442643e-30,0.0,4.154208785035162,0.0,0.6759746245243007,0.0,0.007277811592704711,2.017e-23,0.0,0.01823042318946096,1.808e-26,0.0,1.808e-26,1.7117760549488813e-07,9.054635637655014e-07,2.1800503516756986e-06,4.0889581834735713e-07,4.4297516073462345e-07,5.032119840880917e-07,9.364443590821043e-07,2.4518324762712966e-06,1.7065882595381475e-06,0.0868977202798008,0.9131022797201992
6,6,6,6.1,4.4,16.8,6.3,12.4,16.6,20.7,22.4,0.9117302052785924,0.7303235515425132,0.21644295302013425,0.22184615384615386,0.2549504950495049,700.0,70.0,700.0,125.09,400.0,1500.0,2500.0,4.0,5.0,13.0,4.0,8.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.308,1.48,5.377999999999999,3.59,3.898,0.37,1.764,4.083,0.0,0.8373962177281025,0.3178813289440785,0.4146568062422404,0.1562705010800296,-0.03685510510901696,0.06962148692893431,-0.4557473223821237,0.4032305136691898,0.4545906140205782,0.5096010833051037,0.3981287343109869,0.08027811983047932,0.2824362312283614,-0.3228774311319387,-0.5035016233358606,0.5876033195479956,0.4590684234250624,50695.0,0.06931310190759878,0.3884820739269288,0.91884567373492,0.4039816545326321,0.8825725107276591,0.24055058950032365,0.8959624491353547,0.44154241823806417,0.04787047770661319,3.311467649811391e-06,2.2,2.0,3.82099463490856,2.4,3.2557641192199416,2.3,3.2,3.3,0.2572333570904053,0.218961183774659,0.062,0.135,0.21,0.0,0.0,0.0,0.062,0.135,0.21,0.068,0.14800000000000002,0.224,0.0,0.0,0.0,0.068,0.14800000000000002,0.224,50695.0,0.01,0.001,0.0,3.2797864557650376e-11,3.398919224500176e-11,5.903457150765418e-11,8.774978381634159e-32,0.0,0.55899,0.0,5.254347096958012e-30,0.0,1.9744036276133248,0.0,5.1779605313992425,0.0,1.1813826455883654,1.085e-22,0.0,0.01823042318946097,9.811e-26,0.0,9.811e-26,2.498004847126381e-07,1.4000673422246438e-06,3.311467649811391e-06,1.2565272194050265e-06,2.745115701134789e-06,7.481982410829162e-07,2.8629742579953176e-06,1.41091245336065e-06,1.529661712097798e-07,0.08450317560410048,0.9154968243958995
7,7,7,6.1,4.4,16.8,6.3,12.4,16.6,20.7,22.4,0.8981077147016011,0.6820014936519792,0.2514480408858603,0.2657698056801196,0.2938215102974828,700.0,70.0,700.0,125.09,400.0,1500.0,2500.0,4.0,5.0,13.0,4.0,8.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.271,1.7519999999999998,5.2429999999999986,3.22,3.491,0.407,2.208,3.775,0.0,0.818049497534669,0.3562729483074067,0.4253196390710683,0.06264670006606525,0.1379971067773232,0.0006362421691343839,-0.5055335944983566,0.3650471741492252,0.4351223378244942,0.263907994849462,0.5934619297442942,0.0007299047262282045,0.2742806352111637,-0.3899978030098084,-0.4663513872008303,0.3027584496514961,0.6808267172014165,86793.0,0.07048148340434399,0.39808500738139263,0.9146369156092924,0.5445556313256648,0.8268200185769945,0.1408112966769538,0.12871143467456306,0.6414487153778563,0.7562915523289373,2.419185055750584e-06,2.2,2.0,3.82099463490856,2.4,3.2557641192199416,2.3,3.2,3.3,0.25411414757939,0.20728000385951367,0.058,0.147,0.199,0.0,0.0,0.0,0.058,0.147,0.199,0.071,0.165,0.21600000000000005,0.0,0.0,0.0,0.071,0.165,0.21600000000000005,86793.0,0.01,0.001,0.0,1.7912055342077044e-14,8.982552959277586e-12,4.92613116124159e-11,5.1417959765314835e-33,0.0,0.49773,0.0,4.092032963877549e-31,0.0,2.6222093153000903,0.0,2.6416601040769674,0.0,0.3217394554165734,6.333e-24,0.0,0.01823042318946097,5.783e-27,0.0,5.783e-27,1.2485554991746974e-07,7.051940468585602e-07,1.6202481780651375e-06,9.162672902101532e-07,1.3912043037160058e-06,2.3692856673446307e-07,4.1171526815295157e-07,2.051831917854869e-06,2.419185055750584e-06,0.10060403543602577,0.8993959645639742
8,8,8,6.1,4.4,16.8,6.3,12.4,16.6,20.7,22.4,0.8607407407407406,0.705688622754491,0.1864636209813875,0.12470023980815348,0.2084367245657568,700.0,70.0,700.0,125.09,400.0,1500.0,2500.0,4.0,5.0,13.0,4.0,8.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.407,1.567,6.057,4.083,4.49,0.629,1.9,4.638,0.0,0.8001169522352299,0.2819029805084713,0.5056094324302285,0.02146936148059157,0.15569759369189048,-0.040034698026490116,-0.5234947302596595,0.2552037451875848,0.5172028094308051,0.3818121958478365,0.4959256393908869,-0.04886470729782706,0.2859643220242667,-0.31105258145793785,-0.4852920825085529,0.466024276753633,0.6053064567712932,54037.0,0.07179389232904906,0.4067509113439047,0.910713639485622,0.5885097594999412,0.7770439343544558,0.22329126059089194,0.6083972190064124,0.7551722742572253,0.24406486862806226,2.806892223927136e-06,2.2,2.0,3.82099463490856,2.4,3.2557641192199416,2.3,3.2,3.3,0.273016483018883,0.2349829781069259,0.071,0.139,0.224,0.0,0.0,0.0,0.071,0.139,0.224,0.08800000000000001,0.153,0.239,0.0,0.0,0.0,0.08800000000000001,0.153,0.239,54037.0,0.01,0.001,0.0,1.1145087891830127e-11,1.4277341936636905e-11,4.978930162734307e-11,2.483051619220092e-32,0.0,0.64098,0.0,3.2616593397302536e-30,0.0,1.6007287999932696,0.0,2.1405010483006643,0.0,6.0045765859479925,5.803e-23,0.0,0.01823042318946095,5.543e-26,0.0,5.543e-26,2.2127451414660765e-07,1.2536388175445863e-06,2.806892223927136e-06,1.0371101568614446e-06,1.3693573362850308e-06,3.934983754457733e-07,1.618286385347672e-06,2.0086959174769425e-06,6.491924053950982e-07,0.05748277707871927,0.9425172229212807
9,9,9,6.1,4.4,16.8,6.3,12.4,16.6,20.7,22.4,0.980564263322884,0.7002980625931445,0.20207972270363952,0.155688622754491,0.233175355450237,700.0,70.0,700.0,125.09,400.0,1500.0,2500.0,4.0,5.0,13.0,4.0,8.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.173,1.5419999999999998,5.761,4.046,4.2189999999999985,0.308,1.986,4.774,0.0,0.7979092804634065,0.55119358603936,0.1866429057987828,0.1366718172648179,0.07753483694416713,-0.023476192542398373,-0.5275123059117388,0.5226250551557636,0.19504592426073816,0.623912535457448,0.1439893146978639,-0.02756633013363815,0.289414085850576,-0.5666150736431435,-0.17063866471917194,0.7326136423473953,0.1690758404502388,61056.0,0.07238721279558277,0.4149985151164661,0.9069378831401936,0.06048199928046465,0.5079326810668495,0.8592708067118772,0.4439026016295469,0.8398040870127567,0.31253731889678393,2.2700603210284743e-06,2.2,2.0,3.82099463490856,2.4,3.2557641192199416,2.3,3.2,3.3,0.2662498826290821,0.2276949713981405,0.046,0.138,0.223,0.0,0.0,0.0,0.046,0.138,0.223,0.062,0.157,0.243,0.0,0.0,0.0,0.062,0.157,0.243,61056.0,0.01,0.001,0.0,5.202670655792683e-14,8.590844094601313e-12,5.066794037387766e-11,7.004379102952997e-35,0.0,0.6348199999999999,0.0,5.0944598548646344e-31,0.0,3.6097445647437723,0.0,3.6060175207484297,0.0,2.2110937597019658,5.0179999999999994e-24,0.0,0.01823042318946097,4.3200000000000005e-27,0.0,4.3200000000000005e-27,1.2095077121825318e-07,6.934151560650978e-07,1.515389696280034e-06,1.5978406997026373e-07,1.3418794354898786e-06,2.2700603210284743e-06,1.098864082073712e-06,2.0789032184297957e-06,7.736742987821088e-07,0.06406275999675157,0.9359372400032484
