Unnamed: 0,B_110_elel,B_110_elmu,B_110_mumu,B_90_elel,B_90_elmu,B_90_mumu,MA0,MH0,MHC,Mh,Mtr01,Mtr02,Mtr03,O_110_elel,O_110_elmu,O_110_mumu,O_90_elel,O_90_elmu,O_90_mumu,SR,S_110_elel,S_110_elmu,S_110_mumu,S_90_elel,S_90_elmu,S_90_mumu,U_e1_i,U_e1_r,U_e2_i,U_e2_r,U_e3_i,U_e3_r,U_mu1_i,U_mu1_r,U_mu2_i,U_mu2_r,U_mu3_i,U_mu3_r,U_tau1_i,U_tau1_r,U_tau2_i,U_tau2_r,U_tau3_i,U_tau3_r,Y1e,Y1mu,Y1tau,Y2e,Y2mu,Y2tau,Y3e,Y3mu,Y3tau,Yukawa_max,dB_110_elel,dB_110_elmu,dB_110_mumu,dB_90_elel,dB_90_elmu,dB_90_mumu,dS_110_stat_elel,dS_110_stat_elmu,dS_110_stat_mumu,dS_110_sys_elel,dS_110_sys_elmu,dS_110_sys_mumu,dS_110_tot_elel,dS_110_tot_elmu,dS_110_tot_mumu,dS_90_stat_elel,dS_90_stat_elmu,dS_90_stat_mumu,dS_90_sys_elel,dS_90_sys_elmu,dS_90_sys_mumu,dS_90_tot_elel,dS_90_tot_elmu,dS_90_tot_mumu,index,la2,laL,level_0,m_nu_1,m_nu_2,m_nu_3,mu_to_e_gamma,r_exp,r_max,r_obs,tau_to_mu_gamma,theta_1_i,theta_1_r,theta_2_i,theta_2_r,theta_3_i,theta_3_r,xsection1,xsection2,xsection_process,xsectionerror1,xsectionerror2,xsectionerror_process,y1e,y1mu,y1tau,y2e,y2mu,y2tau,y3e,y3mu,y3tau,CLdb,CLdbs
15,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,500.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.066,1.088,5.197,0.082,1.225,5.609,0.0,0.819953731445,0.514410153718,0.199823211814,0.133432514365,0.0729693097874,-0.00143167184251,-0.463317854302,0.450634768281,0.176083301412,0.656729423572,0.34635813401,-0.00125798092636,0.336167833044,-0.633460601658,-0.245160193545,0.577054785955,0.304337847081,0.0705394712314,0.649510559874,0.757073454567,0.38428390913,0.880778198682,0.276686902309,0.082090127557,0.495906778303,0.864486945067,2.20737704294e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.016,0.065,0.142,0.0,0.0,0.0,0.016,0.065,0.142,0.018,0.069,0.148,0.0,0.0,0.0,0.018,0.069,0.148,83805.0,0.01,0.001,0.0,6.08445412741e-15,8.67010670813e-12,5.14633385964e-11,3.42558277773e-32,0.0,0.86537,0.0,1.03156329934e-30,0.0,6.02598878902,0.0,3.70061736259,0.0,5.47148658685,4.254e-24,0.0,0.00574484013078,3.85e-27,0.0,3.85e-27,1.33524107556e-07,1.22945800899e-06,1.43306372462e-06,9.63079558796e-07,2.20737704294e-06,6.93423517012e-07,2.04542641058e-07,1.23564288632e-06,2.15402811722e-06,0.944405309259,0.0162214385606
17,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,500.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.093,0.972,5.372,0.105,1.131,5.862,0.0,0.789696281392,0.015604235453,0.594669526898,-0.12026035531,-0.0896765951181,-0.00378453928741,-0.310597461601,0.0128466826073,0.59826335889,0.572853046932,0.466122512743,-0.0033683530095,0.529040009322,-0.0166144373157,-0.536436891203,0.509856322815,0.41486295936,0.0706270953843,0.657029421835,0.750549233722,0.422323048405,0.675946086341,0.603937191392,0.893236678744,0.349272987255,0.283084114921,5.77344431047e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.019,0.061,0.145,0.0,0.0,0.0,0.019,0.061,0.145,0.02,0.066,0.151,0.0,0.0,0.0,0.02,0.066,0.151,105374.0,0.01,0.001,0.0,1.37342603265e-10,1.37622230116e-10,1.45726795114e-10,8.72461867103e-31,0.0,0.89533,0.0,5.77082686183e-29,0.0,5.29137341743,0.0,0.0280201456558,0.0,4.183702092,3.633e-22,0.0,0.00574484013078,3.099e-25,0.0,3.099e-25,4.06421282536e-07,3.78085405938e-06,4.31901072125e-06,2.56146095591e-06,4.09972772029e-06,3.66298155267e-06,5.77344431047e-06,2.25752948693e-06,1.82971704092e-06,0.949642749182,0.014314649338
18,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,500.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.054,1.007,5.563,0.07,1.143,6.018,0.0,0.797194864131,0.400906989461,0.426580007177,0.114210161902,0.093485136793,-0.038315109357,-0.482845485062,0.318077144375,0.379529904727,0.702489260087,0.163355474522,-0.0359539602064,0.358580327541,-0.45849267546,-0.449301158992,0.659198716289,0.153288776387,0.070789080576,0.66415842037,0.744232825615,0.545471745392,0.797819390597,0.256797186445,0.556208296952,0.785936440049,0.270067107595,2.48985042721e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.015,0.063,0.147,0.0,0.0,0.0,0.015,0.063,0.147,0.016,0.067,0.153,0.0,0.0,0.0,0.016,0.067,0.153,51628.0,0.01,0.001,0.0,2.06022419654e-17,8.60204306049e-12,5.03973553139e-11,9.62168333022e-32,0.0,0.92797,0.0,8.05855605147e-30,0.0,1.52325215134,0.0,5.02303222673,0.0,2.44015547832,4.151e-23,0.0,0.00574484013078,3.221e-26,0.0,3.221e-26,2.36826724712e-07,2.22195940541e-06,2.48985042721e-06,6.06666132623e-07,8.87323694241e-07,2.85606279858e-07,8.43423909856e-07,1.19177939056e-06,4.09524735714e-07,0.955411588591,0.0127287896809
19,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,500.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.101,1.015,5.466,0.113,1.151,5.87,0.0,0.836755234972,0.517278341726,0.0962245796523,0.0466769395656,0.144311771908,0.00897257038337,-0.483677313693,0.573008775818,0.100852861668,0.13436201766,0.639853296107,0.0101733055962,0.256345333093,-0.60854212748,-0.119708268987,0.152342729873,0.725480307195,0.0708030605832,0.672103618291,0.73706421219,0.454917944744,0.305636509168,0.836442459356,0.504486086505,0.674513936478,0.539003467539,2.29869645741e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.02,0.063,0.146,0.0,0.0,0.0,0.02,0.063,0.146,0.021,0.067,0.151,0.0,0.0,0.0,0.021,0.067,0.151,31779.0,0.01,0.001,0.0,1.58241612631e-12,8.79772498208e-12,4.89056587884e-11,7.05434800199e-32,0.0,0.91131,0.0,6.20390768822e-30,0.0,3.53443491722,0.0,4.26927359639,0.0,5.49166154325,3.134e-23,0.0,0.00574484013078,2.438e-26,0.0,2.438e-26,2.20814878601e-07,2.096102593e-06,2.29869645741e-06,6.16007636981e-07,4.13864579234e-07,1.13263270621e-06,9.45300850532e-07,1.26389729054e-06,1.0099791648e-06,0.952839378534,0.0134724166678
20,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,500.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.058,0.972,5.703,0.074,1.112,6.142,0.0,0.812100242951,0.379340620304,0.415838845558,0.140897666325,0.0618044604845,0.0767774367833,-0.415051262876,0.351902351064,0.306800281167,0.211323319017,0.74780910132,0.0602968903409,0.39836560444,-0.427935155036,-0.53112011277,0.165962026437,0.587289251469,0.0706912866917,0.677326358761,0.732278461867,0.334497477686,0.861836004466,0.381248132885,0.423623132818,0.229449148361,0.876297055603,2.22861731739e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.015,0.061,0.149,0.0,0.0,0.0,0.015,0.061,0.149,0.017,0.066,0.155,0.0,0.0,0.0,0.017,0.066,0.155,30162.0,0.01,0.001,0.0,2.9561159266e-14,8.8638158943e-12,5.07647009328e-11,3.45335327568e-32,0.0,0.95195,0.0,3.33361453092e-30,0.0,0.62933174936,0.0,5.47193110978,0.0,4.51635852254,1.523e-23,0.0,0.00574484013078,1.145e-26,0.0,1.145e-26,1.84061034365e-07,1.76357506039e-06,1.90665550794e-06,8.64975317266e-07,2.22861731739e-06,9.85867597511e-07,5.38303509591e-07,2.91564063119e-07,1.11352224166e-06,0.959591921855,0.0113942434244
42,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,500.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.105,1.139,5.116,0.132,1.302,5.567,0.0,0.805703889797,0.212972248812,0.529059069132,-0.0120184575725,-0.159487056678,0.102978930294,-0.331364800929,0.255346673389,0.439123562495,0.785752980445,0.0644479293257,0.0775901297273,0.473723255029,-0.189235854204,-0.617169091368,0.59203057861,0.0485587020838,0.100019364596,0.646667099824,0.756186345229,0.980627212832,0.159458508584,0.113768420461,0.168890366963,0.778774414236,0.604141089215,3.60206059575e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.02,0.067,0.141,0.0,0.0,0.0,0.02,0.067,0.141,0.023,0.071,0.147,0.0,0.0,0.0,0.023,0.071,0.147,62671.0,0.01,0.001,0.0,5.22655046441e-11,5.29944608309e-11,7.15253693858e-11,2.03889466092e-31,0.0,0.8514,0.0,1.45467759671e-29,0.0,2.34283026092,0.0,2.21500477554,0.0,6.141646316,8.043e-23,0.0,0.00574484013078,7.009e-26,0.0,7.009e-26,3.94788989688e-07,2.55247623333e-06,2.98476244529e-06,3.60206059575e-06,5.85726362589e-07,4.17896565605e-07,7.1222277665e-07,3.28414749559e-06,2.54770625339e-06,0.941435125911,0.017292205505
44,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,500.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.082,1.081,5.45,0.113,1.197,5.87,0.0,0.800553271362,0.252976944191,0.525067059124,0.0354680040131,0.1347728813,-0.0824014013547,-0.400224118522,0.157728977427,0.465588110469,0.766198210308,0.0657285904267,-0.0668477500259,0.433216460948,-0.323893582329,-0.560133446178,0.62157470129,0.0533220104289,0.100246600404,0.657763446049,0.746523856383,0.351798962314,0.804451395457,0.478639156841,0.510520680941,0.433533749914,0.742574657537,2.22351051629e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.018,0.065,0.146,0.0,0.0,0.0,0.018,0.065,0.146,0.021,0.068,0.151,0.0,0.0,0.0,0.021,0.068,0.151,121104.0,0.01,0.001,0.0,4.38986707982e-18,8.97167218805e-12,5.08386135001e-11,1.88167294929e-32,0.0,0.90865,0.0,3.50579956259e-30,0.0,4.56366366664,0.0,3.92720522819,0.0,1.54609741931,1.707e-23,0.0,0.00574484013078,1.495e-26,0.0,1.495e-26,2.68580648396e-07,1.76227953984e-06,2.00008639277e-06,9.72375331491e-07,2.22351051629e-06,1.32296271068e-06,1.14882867897e-07,9.75584386284e-08,1.67102155642e-07,0.952624494756,0.0137299526502
46,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,500.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.109,0.964,5.341,0.117,1.151,5.753,0.0,0.798603935126,0.581021684133,0.0328081638884,0.121426137163,-0.0939408056375,0.0911621846445,-0.401387420034,0.54949869579,-0.035508046232,0.456847835226,0.564498018204,0.0841223554417,0.430967260062,-0.590887215823,-0.0947633215092,0.421568615622,0.520905714564,0.100201424348,0.666770206897,0.738496557712,0.591617533243,0.59966125483,0.538883172696,0.257819924025,0.783680396249,0.565131775173,2.01982775389e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.021,0.061,0.144,0.0,0.0,0.0,0.021,0.061,0.144,0.021,0.067,0.15,0.0,0.0,0.0,0.021,0.067,0.15,15304.0,0.01,0.001,0.0,3.2387343965e-17,8.52618523279e-12,5.0082187291e-11,5.92512266335e-32,0.0,0.89,0.0,3.60175523099e-30,0.0,5.75095898811,0.0,4.03074578894,0.0,3.07368301581,1.854e-23,0.0,0.00574484013078,1.458e-26,0.0,1.458e-26,2.74056277939e-07,1.82365233161e-06,2.01982775389e-06,7.80292362625e-07,7.90901335769e-07,7.10740301588e-07,6.42551391949e-07,1.95312651401e-06,1.40844897905e-06,0.948775129557,0.0145242051095
47,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,500.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.082,0.987,5.687,0.121,1.174,6.111,0.0,0.831366025394,0.202337081844,0.494656207681,0.0833804582885,-0.127487930841,0.0824678031544,-0.425150336112,0.278250691764,0.540215854683,0.639878435604,0.183698730746,0.0904897791682,0.336286165095,-0.167479840229,-0.563088649781,0.702121993281,0.201567847606,0.100096989037,0.669889381252,0.735682546804,0.94783645547,0.227554424727,0.223215226787,0.302652511151,0.706733084893,0.639476195188,6.23416939689e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.018,0.062,0.149,0.0,0.0,0.0,0.018,0.062,0.149,0.022,0.068,0.154,0.0,0.0,0.0,0.022,0.068,0.154,51070.0,0.01,0.001,0.0,1.68723353144e-10,1.68965452691e-10,1.75716055081e-10,1.92583330573e-30,0.0,0.94929,0.0,1.0711935984e-28,0.0,3.40508858116,0.0,1.65684884709,0.0,2.11931271767,5.926e-22,0.0,0.00574484013078,4.666e-25,0.0,4.666e-25,6.50947308691e-07,4.35640166642e-06,4.78426552585e-06,6.23416939689e-06,1.49668523781e-06,1.4681451929e-06,2.15192440905e-06,5.02502414495e-06,4.54681320237e-06,0.959219187378,0.0115206021198
76,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,500.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.058,1.131,5.248,0.082,1.298,5.633,0.0,0.826428566718,0.481811662415,0.245612932736,0.125307556682,0.0940513135746,0.0160070828521,-0.501012540597,0.525051104503,0.255897769006,0.429010390895,0.472776862215,0.0188947966753,0.2557127651,-0.533531265237,-0.285856376047,0.506404832314,0.5580668737,0.122589178962,0.655459184394,0.745214835329,0.467625907246,0.632412913075,0.617559647523,0.875533075352,0.410745683453,0.254420552411,5.19267343942e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.015,0.066,0.143,0.0,0.0,0.0,0.015,0.066,0.143,0.018,0.071,0.148,0.0,0.0,0.0,0.018,0.071,0.148,25685.0,0.01,0.001,0.0,1.17348810914e-10,1.17653305173e-10,1.2715145632e-10,2.1919687789e-30,0.0,0.87403,0.0,4.97783753351e-29,0.0,3.33196041746,0.0,1.49554986793,0.0,3.51586292212,3.101e-22,0.0,0.00574484013078,2.729e-25,0.0,2.729e-25,6.7811144424e-07,3.62572274269e-06,4.12221300879e-06,2.56625077045e-06,3.47057359372e-06,3.38906142004e-06,5.19267343942e-06,2.43607952785e-06,1.50893539277e-06,0.9464410919,0.0157100300416
