Unnamed: 0,B_110_elel,B_110_elmu,B_110_mumu,B_90_elel,B_90_elmu,B_90_mumu,MA0,MH0,MHC,Mh,Mtr01,Mtr02,Mtr03,O_110_elel,O_110_elmu,O_110_mumu,O_90_elel,O_90_elmu,O_90_mumu,SR,S_110_elel,S_110_elmu,S_110_mumu,S_90_elel,S_90_elmu,S_90_mumu,U_e1_i,U_e1_r,U_e2_i,U_e2_r,U_e3_i,U_e3_r,U_mu1_i,U_mu1_r,U_mu2_i,U_mu2_r,U_mu3_i,U_mu3_r,U_tau1_i,U_tau1_r,U_tau2_i,U_tau2_r,U_tau3_i,U_tau3_r,Y1e,Y1mu,Y1tau,Y2e,Y2mu,Y2tau,Y3e,Y3mu,Y3tau,Yukawa_max,dB_110_elel,dB_110_elmu,dB_110_mumu,dB_90_elel,dB_90_elmu,dB_90_mumu,dS_110_stat_elel,dS_110_stat_elmu,dS_110_stat_mumu,dS_110_sys_elel,dS_110_sys_elmu,dS_110_sys_mumu,dS_110_tot_elel,dS_110_tot_elmu,dS_110_tot_mumu,dS_90_stat_elel,dS_90_stat_elmu,dS_90_stat_mumu,dS_90_sys_elel,dS_90_sys_elmu,dS_90_sys_mumu,dS_90_tot_elel,dS_90_tot_elmu,dS_90_tot_mumu,index,la2,laL,level_0,m_nu_1,m_nu_2,m_nu_3,mu_to_e_gamma,r_exp,r_max,r_obs,tau_to_mu_gamma,theta_1_i,theta_1_r,theta_2_i,theta_2_r,theta_3_i,theta_3_r,xsection1,xsection2,xsection_process,xsectionerror1,xsectionerror2,xsectionerror_process,y1e,y1mu,y1tau,y2e,y2mu,y2tau,y3e,y3mu,y3tau,CLdb,CLdbs,CLdb_3x6,CLdb_3x75,CLdb_3x75b,CLdb3x75b,CLdbQ
18,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,500.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.054,1.007,5.563,0.07,1.143,6.018,0.0,0.797194864131,0.400906989461,0.426580007177,0.114210161902,0.093485136793,-0.038315109357,-0.482845485062,0.318077144375,0.379529904727,0.702489260087,0.163355474522,-0.0359539602064,0.358580327541,-0.45849267546,-0.449301158992,0.659198716289,0.153288776387,0.070789080576,0.66415842037,0.744232825615,0.545471745392,0.797819390597,0.256797186445,0.556208296952,0.785936440049,0.270067107595,2.48985042721e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.015,0.063,0.147,0.0,0.0,0.0,0.015,0.063,0.147,0.016,0.067,0.153,0.0,0.0,0.0,0.016,0.067,0.153,51628.0,0.01,0.001,0.0,2.06022419654e-17,8.60204306049e-12,5.03973553139e-11,9.62168333022e-32,0.0,0.92797,0.0,8.05855605147e-30,0.0,1.52325215134,0.0,5.02303222673,0.0,2.44015547832,4.151e-23,0.0,0.00574484013078,3.221e-26,0.0,3.221e-26,2.36826724712e-07,2.22195940541e-06,2.48985042721e-06,6.06666132623e-07,8.87323694241e-07,2.85606279858e-07,8.43423909856e-07,1.19177939056e-06,4.09524735714e-07,0.955411588591,0.0127287896809,0.950606338816,0.935431119263,0.935386486246,0.946978602427,0.944101007959
19,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,500.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.101,1.015,5.466,0.113,1.151,5.87,0.0,0.836755234972,0.517278341726,0.0962245796523,0.0466769395656,0.144311771908,0.00897257038337,-0.483677313693,0.573008775818,0.100852861668,0.13436201766,0.639853296107,0.0101733055962,0.256345333093,-0.60854212748,-0.119708268987,0.152342729873,0.725480307195,0.0708030605832,0.672103618291,0.73706421219,0.454917944744,0.305636509168,0.836442459356,0.504486086505,0.674513936478,0.539003467539,2.29869645741e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.02,0.063,0.146,0.0,0.0,0.0,0.02,0.063,0.146,0.021,0.067,0.151,0.0,0.0,0.0,0.021,0.067,0.151,31779.0,0.01,0.001,0.0,1.58241612631e-12,8.79772498208e-12,4.89056587884e-11,7.05434800199e-32,0.0,0.91131,0.0,6.20390768822e-30,0.0,3.53443491722,0.0,4.26927359639,0.0,5.49166154325,3.134e-23,0.0,0.00574484013078,2.438e-26,0.0,2.438e-26,2.20814878601e-07,2.096102593e-06,2.29869645741e-06,6.16007636981e-07,4.13864579234e-07,1.13263270621e-06,9.45300850532e-07,1.26389729054e-06,1.0099791648e-06,0.952839378534,0.0134724166678,0.947541381152,0.931665769787,0.931578087055,0.943557166887,0.941961559656
20,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,500.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.058,0.972,5.703,0.074,1.112,6.142,0.0,0.812100242951,0.379340620304,0.415838845558,0.140897666325,0.0618044604845,0.0767774367833,-0.415051262876,0.351902351064,0.306800281167,0.211323319017,0.74780910132,0.0602968903409,0.39836560444,-0.427935155036,-0.53112011277,0.165962026437,0.587289251469,0.0706912866917,0.677326358761,0.732278461867,0.334497477686,0.861836004466,0.381248132885,0.423623132818,0.229449148361,0.876297055603,2.22861731739e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.015,0.061,0.149,0.0,0.0,0.0,0.015,0.061,0.149,0.017,0.066,0.155,0.0,0.0,0.0,0.017,0.066,0.155,30162.0,0.01,0.001,0.0,2.9561159266e-14,8.8638158943e-12,5.07647009328e-11,3.45335327568e-32,0.0,0.95195,0.0,3.33361453092e-30,0.0,0.62933174936,0.0,5.47193110978,0.0,4.51635852254,1.523e-23,0.0,0.00574484013078,1.145e-26,0.0,1.145e-26,1.84061034365e-07,1.76357506039e-06,1.90665550794e-06,8.64975317266e-07,2.22861731739e-06,9.85867597511e-07,5.38303509591e-07,2.91564063119e-07,1.11352224166e-06,0.959591921855,0.0113942434244,0.955057412681,0.94249739769,0.94241898016,0.951296822391,0.950036796548
21,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,500.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.058,1.077,5.901,0.07,1.228,6.356,0.0,0.790968323603,0.176294142496,0.566454012845,-0.0183406320646,0.148603361084,-0.0681947747247,-0.483731975076,0.11494461244,0.541452066337,0.513142169314,0.437784603419,-0.0730884299909,0.361081765598,-0.225276753748,-0.539368155164,0.54996523808,0.46920001521,0.0707362217906,0.682595681595,0.727364779457,0.600515672594,0.339129032954,0.724135640593,0.694179207273,0.677461906598,0.243229507459,2.42223254482e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.015,0.065,0.151,0.0,0.0,0.0,0.015,0.065,0.151,0.016,0.069,0.157,0.0,0.0,0.0,0.016,0.069,0.157,24214.0,0.01,0.001,0.0,1.31296518435e-11,1.57476250506e-11,5.19332010401e-11,7.64641803125e-32,0.0,0.98595,0.0,7.79865907841e-30,0.0,3.60815129489,0.0,1.16843028027,0.0,0.902518466388,4.073e-23,0.0,0.00574484013078,3.069e-26,0.0,3.069e-26,2.35562104955e-07,2.27314481208e-06,2.42223254482e-06,1.25062301607e-06,7.06263955107e-07,1.50807171272e-06,1.60319162901e-06,1.56458339036e-06,5.61733204051e-07,0.964640305173,0.0101269184809,0.960392383486,0.947577841711,0.947543596055,0.957401252093,0.95501707426
44,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,500.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.082,1.081,5.45,0.113,1.197,5.87,0.0,0.800553271362,0.252976944191,0.525067059124,0.0354680040131,0.1347728813,-0.0824014013547,-0.400224118522,0.157728977427,0.465588110469,0.766198210308,0.0657285904267,-0.0668477500259,0.433216460948,-0.323893582329,-0.560133446178,0.62157470129,0.0533220104289,0.100246600404,0.657763446049,0.746523856383,0.351798962314,0.804451395457,0.478639156841,0.510520680941,0.433533749914,0.742574657537,2.22351051629e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.018,0.065,0.146,0.0,0.0,0.0,0.018,0.065,0.146,0.021,0.068,0.151,0.0,0.0,0.0,0.021,0.068,0.151,121104.0,0.01,0.001,0.0,4.38986707982e-18,8.97167218805e-12,5.08386135001e-11,1.88167294929e-32,0.0,0.90865,0.0,3.50579956259e-30,0.0,4.56366366664,0.0,3.92720522819,0.0,1.54609741931,1.707e-23,0.0,0.00574484013078,1.495e-26,0.0,1.495e-26,2.68580648396e-07,1.76227953984e-06,2.00008639277e-06,9.72375331491e-07,2.22351051629e-06,1.32296271068e-06,1.14882867897e-07,9.75584386284e-08,1.67102155642e-07,0.952624494756,0.0137299526502,0.94689477775,0.930675866446,0.930526986259,0.942397391038,0.940874211918
45,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,500.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.07,0.991,5.815,0.082,1.162,6.235,0.0,0.791314686193,0.216809158228,0.550469466823,0.0694433078593,-0.137752856276,0.0775066576859,-0.470425888661,0.258692226994,0.498680925389,0.67502145491,0.0378669123206,0.0825981832877,0.373752336212,-0.153236381214,-0.557576391916,0.719364600674,0.0403544451249,0.0996314042433,0.662673420168,0.742251656443,0.790788007145,0.44392219937,0.421411210888,0.6012237115,0.614563400171,0.510726811417,2.92912018797e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.016,0.062,0.15,0.0,0.0,0.0,0.016,0.062,0.15,0.018,0.067,0.156,0.0,0.0,0.0,0.018,0.067,0.156,83857.0,0.01,0.001,0.0,4.12174699532e-11,4.21682721874e-11,6.53247266243e-11,3.17651627434e-31,0.0,0.97128,0.0,1.44016694459e-29,0.0,5.7597719933,0.0,4.54799475081,0.0,2.93491188349,8.035e-23,0.0,0.00574484013078,6.434e-26,0.0,6.434e-26,3.93171716077e-07,2.61508354504e-06,2.92912018797e-06,2.59687151467e-06,1.45779766999e-06,1.38387375584e-06,2.1300925854e-06,2.17735414775e-06,1.80946854449e-06,0.962634108599,0.0105277372726,0.958332893226,0.946331980957,0.946268893806,0.954779024973,0.95360202822
47,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,500.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.082,0.987,5.687,0.121,1.174,6.111,0.0,0.831366025394,0.202337081844,0.494656207681,0.0833804582885,-0.127487930841,0.0824678031544,-0.425150336112,0.278250691764,0.540215854683,0.639878435604,0.183698730746,0.0904897791682,0.336286165095,-0.167479840229,-0.563088649781,0.702121993281,0.201567847606,0.100096989037,0.669889381252,0.735682546804,0.94783645547,0.227554424727,0.223215226787,0.302652511151,0.706733084893,0.639476195188,6.23416939689e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.018,0.062,0.149,0.0,0.0,0.0,0.018,0.062,0.149,0.022,0.068,0.154,0.0,0.0,0.0,0.022,0.068,0.154,51070.0,0.01,0.001,0.0,1.68723353144e-10,1.68965452691e-10,1.75716055081e-10,1.92583330573e-30,0.0,0.94929,0.0,1.0711935984e-28,0.0,3.40508858116,0.0,1.65684884709,0.0,2.11931271767,5.926e-22,0.0,0.00574484013078,4.666e-25,0.0,4.666e-25,6.50947308691e-07,4.35640166642e-06,4.78426552585e-06,6.23416939689e-06,1.49668523781e-06,1.4681451929e-06,2.15192440905e-06,5.02502414495e-06,4.54681320237e-06,0.959219187378,0.0115206021198,0.954685886022,0.94157763923,0.941508613054,0.950898807084,0.949269105847
48,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,500.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.066,1.085,5.788,0.082,1.279,6.22,0.0,0.828580997627,0.354629287878,0.410645930521,0.0773771601803,0.114342876383,-0.062114916997,-0.43977666896,0.332113506624,0.446805394422,0.697402268505,0.0802112999723,-0.061819962654,0.335216409374,-0.440916671407,-0.448626832719,0.694090635198,0.0798304144711,0.100071036323,0.674172714663,0.731762897729,0.559688870052,0.648942722236,0.515385013361,0.548007817319,0.744430721252,0.381458167319,2.49140832613e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.016,0.065,0.15,0.0,0.0,0.0,0.016,0.065,0.15,0.018,0.071,0.155,0.0,0.0,0.0,0.018,0.071,0.155,12130.0,0.01,0.001,0.0,3.98984555097e-18,8.6384638151e-12,4.93971008129e-11,1.756021248e-31,0.0,0.96662,0.0,8.55586328709e-30,0.0,1.87445655202,0.0,1.74506221007,0.0,3.40702359804,4.452e-23,0.0,0.00574484013078,3.51e-26,0.0,3.51e-26,3.40708464275e-07,2.29533298254e-06,2.49140832613e-06,4.54587344848e-07,5.27080606466e-07,4.18603115649e-07,8.10813768286e-07,1.10143443077e-06,5.64392558487e-07,0.961994936871,0.010929277199,0.957329373162,0.943748350645,0.943682143108,0.954002586144,0.951954165141
49,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,500.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.113,1.139,5.959,0.144,1.31,6.414,0.0,0.803823699121,0.29603697215,0.496930897077,0.0577975909382,0.126288138252,0.0263784175319,-0.48282787966,0.277035477948,0.427946250788,0.0692626328208,0.708164850724,0.0255344596216,0.345538521462,-0.309998949698,-0.556269535595,0.0670466262394,0.685507641404,0.0999175425435,0.678811443694,0.727482995404,0.641490679571,0.609202292622,0.466221272239,0.569174264507,0.739661050375,0.359085208803,2.47805662686e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.021,0.067,0.152,0.0,0.0,0.0,0.021,0.067,0.152,0.024,0.071,0.158,0.0,0.0,0.0,0.024,0.071,0.158,142662.0,0.01,0.001,0.0,1.6426794315e-14,9.02081854689e-12,4.92707509763e-11,1.83916310994e-31,0.0,0.99595,0.0,8.59677052715e-30,0.0,4.95051808702,0.0,1.40767577956,0.0,0.309041943256,4.459e-23,0.0,0.00574484013078,3.343e-26,0.0,3.343e-26,3.40353424071e-07,2.31226462619e-06,2.47805662686e-06,5.17157911256e-07,4.91127611387e-07,3.75858959471e-07,8.5714885396e-07,1.11389368983e-06,5.40764919275e-07,0.966471866349,0.00964900385245,0.962217506752,0.949593923661,0.94951386254,0.958859616077,0.95770883659
51,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,500.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.058,0.999,5.986,0.066,1.131,6.441,0.0,0.807168526829,0.478514844658,0.307887222474,0.0899604061968,0.128899558935,-0.000690207842021,-0.490365815467,0.418574515641,0.269898838569,0.413648983357,0.583425574515,-0.000657244332823,0.328663091877,-0.550537395152,-0.353677211612,0.39389359775,0.555561859962,0.0999766490796,0.685164550393,0.721494427229,0.516043347664,0.641884308914,0.567171752912,0.851121934494,0.36080291675,0.38133018224,3.78271610184e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.015,0.062,0.153,0.0,0.0,0.0,0.015,0.062,0.153,0.016,0.066,0.158,0.0,0.0,0.0,0.016,0.066,0.158,130581.0,0.01,0.001,0.0,6.55334610856e-11,6.60844853291e-11,8.26934673682e-11,3.81246270737e-31,0.0,1.00062,0.0,2.22271158752e-29,0.0,4.43647614373,0.0,1.47795026812,0.0,5.8555306762,1.308e-22,0.0,0.00574484013078,9.909e-26,0.0,9.909e-26,4.45698148362e-07,3.05447896329e-06,3.21643837066e-06,2.11838977458e-06,2.63497468307e-06,2.328275032e-06,3.78271610184e-06,1.60354814917e-06,1.69477928134e-06,0.966893176195,0.00929350264247,0.962783068532,0.951884703669,0.951835561311,0.959397728292,0.958309739814
