Unnamed: 0,B_110_elel,B_110_elmu,B_110_mumu,B_90_elel,B_90_elmu,B_90_mumu,MA0,MH0,MHC,Mh,Mtr01,Mtr02,Mtr03,O_110_elel,O_110_elmu,O_110_mumu,O_90_elel,O_90_elmu,O_90_mumu,SR,S_110_elel,S_110_elmu,S_110_mumu,S_90_elel,S_90_elmu,S_90_mumu,U_e1_i,U_e1_r,U_e2_i,U_e2_r,U_e3_i,U_e3_r,U_mu1_i,U_mu1_r,U_mu2_i,U_mu2_r,U_mu3_i,U_mu3_r,U_tau1_i,U_tau1_r,U_tau2_i,U_tau2_r,U_tau3_i,U_tau3_r,Y1e,Y1mu,Y1tau,Y2e,Y2mu,Y2tau,Y3e,Y3mu,Y3tau,Yukawa_max,dB_110_elel,dB_110_elmu,dB_110_mumu,dB_90_elel,dB_90_elmu,dB_90_mumu,dS_110_stat_elel,dS_110_stat_elmu,dS_110_stat_mumu,dS_110_sys_elel,dS_110_sys_elmu,dS_110_sys_mumu,dS_110_tot_elel,dS_110_tot_elmu,dS_110_tot_mumu,dS_90_stat_elel,dS_90_stat_elmu,dS_90_stat_mumu,dS_90_sys_elel,dS_90_sys_elmu,dS_90_sys_mumu,dS_90_tot_elel,dS_90_tot_elmu,dS_90_tot_mumu,index,la2,laL,m_nu_1,m_nu_2,m_nu_3,mu_to_e_gamma,r_exp,r_max,r_obs,tau_to_mu_gamma,theta_1_i,theta_1_r,theta_2_i,theta_2_r,theta_3_i,theta_3_r,xsection1,xsection2,xsection_process,xsectionerror1,xsectionerror2,xsectionerror_process,y1e,y1mu,y1tau,y2e,y2mu,y2tau,y3e,y3mu,y3tau,CLdb550,CLdb,CLdbs
54,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,550.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.028,0.651,5.08,0.03,0.743,5.351,0.0,0.792866780408,0.319039190148,0.495938339878,-0.0847804628493,-0.128193992969,-0.0430068693657,-0.339917593492,0.307403929699,0.536973643661,0.0530821147306,0.704947415015,-0.0419986119536,0.502199984012,-0.306583827262,-0.418840835006,0.0518376522432,0.688420556241,0.100118882468,0.754589688611,0.648514156527,0.592160782909,0.282039700791,0.754850458278,0.175550619927,0.906527623861,0.383913593169,2.52670102733e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.008,0.039,0.108,0.0,0.0,0.0,0.008,0.039,0.108,0.008,0.041,0.111,0.0,0.0,0.0,0.008,0.041,0.111,35715.0,0.01,0.001,5.60503615406e-18,8.74394757299e-12,4.89904723007e-11,1.78891647874e-31,0.0,0.85654,0.0,7.83743379299e-30,0.0,1.04999444291,0.0,1.32964470186,0.0,5.10859544995,3.015e-23,0.0,0.0033878632056,2.551e-26,0.0,2.551e-26,3.3524243308e-07,2.52670102733e-06,2.17151308886e-06,9.7528110232e-07,4.6451571638e-07,1.2432288802e-06,7.2717110824e-08,3.75504624916e-07,1.59025854269e-07,0.938225802223,0.940222722338,0.0159175476818
56,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,550.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.028,0.679,5.362,0.039,0.777,5.708,0.0,0.821739996566,0.548119945881,0.0358615886232,-0.151589434332,-0.0065186525385,-0.0692032225515,-0.305961479466,0.59162311583,0.08506562554,0.476541050091,0.563252201786,-0.0616949509569,0.471736789048,-0.583964602224,0.00312136263402,0.424838260855,0.502141600988,0.0996264714022,0.768050950034,0.632591735915,0.54826476406,0.344429646193,0.762085275618,0.644618498689,0.747736255306,0.159240332982,2.53458171604e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.008,0.039,0.111,0.0,0.0,0.0,0.008,0.039,0.111,0.009,0.042,0.114,0.0,0.0,0.0,0.009,0.042,0.114,72011.0,0.01,0.001,2.85572992681e-12,9.30237935267e-12,4.94703588847e-11,1.9644063499e-31,0.0,0.90513,0.0,7.28776614041e-30,0.0,0.859354971035,0.0,1.25120626202,0.0,2.12102911036,2.845e-23,0.0,0.0033878632056,2.326e-26,0.0,2.326e-26,3.28769117255e-07,2.53458171604e-06,2.08756391421e-06,9.64041155937e-07,6.05627747798e-07,1.34001237758e-06,7.33451626236e-07,8.50779761308e-07,1.81184811521e-07,0.948634733556,0.950371445721,0.0132160577387
57,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,550.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.032,0.665,5.403,0.041,0.727,5.743,0.0,0.833738973507,0.529336530317,0.0619664813013,0.104815973467,0.0992770297155,0.0659170314788,-0.412452719862,0.501920006215,0.0163330805575,0.0194018647446,0.756948349839,0.0554562361506,0.356849588437,-0.671350874935,-0.114282690868,0.0163228587347,0.636823374791,0.100006466911,0.776723168545,0.621851932555,0.542170579073,0.51956093826,0.660384353708,0.5879223269,0.371731800485,0.71844471328,2.626130298e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.009,0.039,0.111,0.0,0.0,0.0,0.009,0.039,0.111,0.01,0.041,0.115,0.0,0.0,0.0,0.01,0.041,0.115,48762.0,0.01,0.001,2.03664847172e-12,9.11017214492e-12,5.10117048562e-11,2.33198997194e-31,0.0,0.91224,0.0,7.87260059769e-30,0.0,3.45675230054,0.0,4.43866265528,0.0,0.269285612823,3.135e-23,0.0,0.0033878632056,2.536e-26,0.0,2.536e-26,3.38125632641e-07,2.626130298e-06,2.10250481393e-06,8.37039946292e-07,8.02133639565e-07,1.01954644036e-06,7.45526274509e-07,4.71381697295e-07,9.11037710298e-07,0.949964202975,0.95171742281,0.0128219437517
58,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,550.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.046,0.642,5.484,0.05,0.729,5.83,0.0,0.817053825575,0.0107816518338,0.557545219202,-0.0774498520206,0.124304670324,-0.0923272250127,-0.3670581935,-0.0527337220713,0.532252314002,0.627363459759,0.420815499074,-0.0780553821085,0.427871907869,-0.0654935438976,-0.631398692612,0.530386292512,0.35576629291,0.0999545498915,0.780923043111,0.616577885343,0.985448465599,0.0194095969007,0.168862634102,0.166098350429,0.584092252166,0.794510905491,2.80527560353e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.01,0.038,0.112,0.0,0.0,0.0,0.01,0.038,0.112,0.011,0.041,0.116,0.0,0.0,0.0,0.011,0.041,0.116,113046.0,0.01,0.001,2.03810680955e-11,2.22440073236e-11,5.42548660626e-11,2.68307517899e-31,0.0,0.92607,0.0,9.97710614125e-30,0.0,2.96312083749,0.0,4.57282964747,0.0,0.957605178035,3.994e-23,0.0,0.0033878632056,3.136e-26,0.0,3.136e-26,3.5906234647e-07,2.80527560353e-06,2.21490569997e-06,2.29380483361e-06,4.51792546679e-08,3.9305751629e-07,4.27522451968e-07,1.50340175671e-06,2.04500074537e-06,0.952369634318,0.954095464381,0.0121061008491
60,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,550.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.028,0.605,5.621,0.039,0.704,6.002,0.0,0.822592427077,0.539003535218,0.106054297448,-0.129238497381,-0.0697623446138,-0.0488701421683,-0.353286422266,0.648872889997,0.160934056127,0.26857648585,0.594753130719,-0.0556672680075,0.43936689365,-0.497682207633,-0.0600358012003,0.305931567926,0.677474639055,0.100060476774,0.792995663787,0.600954056649,0.259559298372,0.556922488381,0.788965343069,0.554633172905,0.469252596951,0.687156491469,2.25179559344e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.008,0.037,0.114,0.0,0.0,0.0,0.008,0.037,0.114,0.009,0.04,0.117,0.0,0.0,0.0,0.009,0.04,0.117,82459.0,0.01,0.001,1.74387403436e-15,8.66658558293e-12,5.09120636479e-11,2.91921064908e-32,0.0,0.94979,0.0,2.24949954106e-30,0.0,2.14568060201,0.0,3.81267004224,0.0,1.39572641465,7.629e-24,0.0,0.0033878632056,6.225e-27,0.0,6.225e-27,2.37649367951e-07,1.88341015716e-06,1.4273003321e-06,7.40811354318e-07,1.58951925612e-06,2.25179559344e-06,6.3282658949e-07,5.35408870303e-07,7.84033339846e-07,0.956214378267,0.957791804976,0.0110342684584
140,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,550.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.048,0.704,5.092,0.05,0.791,5.424,0.0,0.830770628113,0.303491262357,0.443081631514,0.146036635186,0.0080737931368,0.0771421002783,-0.399867815638,0.322138828525,0.382058708286,0.410457796048,0.644931734856,0.063355972788,0.374113633215,-0.349544359734,-0.582793428795,0.337104549438,0.529675459914,0.141496517374,0.75632858986,0.638706348591,0.397810443747,0.175343425202,0.900556235936,0.537276227549,0.646105770762,0.542108465438,2.56145318128e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.011,0.04,0.108,0.0,0.0,0.0,0.011,0.04,0.108,0.011,0.043,0.112,0.0,0.0,0.0,0.011,0.043,0.112,25326.0,0.01,0.001,8.94700568213e-15,8.98964643187e-12,4.88068585247e-11,4.04891455682e-31,0.0,0.85851,0.0,8.08680918875e-30,0.0,2.91698607182,0.0,4.86825962687,0.0,4.14442870001,3.156e-23,0.0,0.0033878632056,2.581e-26,0.0,2.581e-26,4.79205347287e-07,2.56145318128e-06,2.16310269166e-06,2.75784819219e-07,1.21558032426e-07,6.2431678863e-07,8.46332577634e-07,1.01776392543e-06,8.53944454241e-07,0.937921926992,0.940301972081,0.0161136093554
142,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,550.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.039,0.791,5.131,0.048,0.878,5.442,0.0,0.840534711716,0.215330694193,0.476986782167,0.11589717315,-0.0786482385822,0.0852207228965,-0.366177190959,0.255921525212,0.43794254533,0.657164741142,0.411699764553,0.0676563054114,0.384155848516,-0.242800107303,-0.640214737094,0.521719799142,0.326846382684,0.1415644518,0.76907665779,0.623282119453,0.490530654855,0.712042352548,0.502369749114,0.508988498698,0.314168874846,0.801391680935,2.66178028405e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.009,0.043,0.108,0.0,0.0,0.0,0.009,0.043,0.108,0.011,0.045,0.112,0.0,0.0,0.0,0.011,0.045,0.112,107675.0,0.01,0.001,4.34115689001e-17,9.02245031818e-12,5.0675864986e-11,4.59296235301e-31,0.0,0.86523,0.0,8.57268477217e-30,0.0,3.38874010702,0.0,4.57646837617,0.0,0.950123507651,3.442e-23,0.0,0.0033878632056,2.944e-26,0.0,2.944e-26,4.89955666847e-07,2.66178028405e-06,2.15718425485e-06,6.00058572811e-07,8.71030410886e-07,6.14541153938e-07,5.64004343851e-07,3.48126943083e-07,8.88012971471e-07,0.938909124838,0.941647950884,0.0160421915771
143,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,550.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.053,0.807,5.426,0.06,0.894,5.754,0.0,0.833465279521,0.0184201301019,0.530744715895,-0.136439172332,0.0684888709437,-0.0839529376309,-0.277364829392,-0.034069474489,0.560578545453,0.673852958552,0.382797350064,-0.066432456085,0.465771416353,-0.0642617325136,-0.631214813179,0.53322383159,0.302909807152,0.141404881893,0.774007825624,0.617184368928,0.544634052923,0.393931220632,0.740399852653,0.763404766772,0.547658736608,0.342466159331,2.66507078694e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.011,0.043,0.112,0.0,0.0,0.0,0.011,0.043,0.112,0.012,0.045,0.115,0.0,0.0,0.0,0.012,0.045,0.115,48061.0,0.01,0.001,1.265222811e-11,1.53288366353e-11,5.0763581038e-11,4.67736638397e-31,0.0,0.91619,0.0,8.15948996455e-30,0.0,3.70724448161,0.0,1.36773781871,0.0,3.76814708119,3.372e-23,0.0,0.0033878632056,2.77e-26,0.0,2.77e-26,4.86886575803e-07,2.66507078694e-06,2.12509483409e-06,1.01517048938e-06,7.34267987622e-07,1.38006809659e-06,1.6675352998e-06,1.19627269214e-06,7.48062410048e-07,0.949411513675,0.95179433057,0.0132245997324
144,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,550.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.066,0.729,5.571,0.083,0.795,5.905,0.0,0.839067694541,0.143142009593,0.504419578982,-0.145031610731,-0.00157775043295,-0.0781683240003,-0.28184518505,0.10904878473,0.563209634421,0.428987371828,0.633503046436,-0.0640991256009,0.454213287853,-0.209973015358,-0.59319967675,0.351775681258,0.519481412214,0.141245286808,0.780810184356,0.608592823619,0.752627684763,0.377629009005,0.539395865469,0.149195739445,0.489455638713,0.859170419104,2.71724574653e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.012,0.041,0.113,0.0,0.0,0.0,0.012,0.041,0.113,0.014,0.043,0.116,0.0,0.0,0.0,0.014,0.043,0.116,107666.0,0.01,0.001,1.85601750316e-12,8.91952512079e-12,5.05160736522e-11,4.51624410708e-31,0.0,0.94109,0.0,8.63346851647e-30,0.0,1.93766112574,0.0,1.50007884746,0.0,3.72155043612,3.516e-23,0.0,0.0033878632056,2.847e-26,0.0,2.847e-26,4.91538356551e-07,2.71724574653e-06,2.11792352927e-06,9.76103595509e-07,4.8975747361e-07,6.99557369927e-07,1.71654010691e-07,5.63132859912e-07,9.8850040125e-07,0.955169391263,0.956879806429,0.0115254102934
145,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,550.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.066,0.773,5.662,0.071,0.86,6.022,0.0,0.788724943571,0.274792032729,0.531869452911,0.139315782323,0.0104067282948,0.0309381416528,-0.446021867683,0.210992181934,0.357223012287,0.720525437979,0.329885490466,0.023179353482,0.421287319891,-0.29877259966,-0.616614284748,0.53982925048,0.247155516899,0.141383460133,0.787314340315,0.600122359803,0.236855640443,0.628848974111,0.74057300339,0.53735210026,0.725665804134,0.429723005035,2.37172965072e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.012,0.042,0.114,0.0,0.0,0.0,0.012,0.042,0.114,0.013,0.044,0.117,0.0,0.0,0.0,0.013,0.044,0.117,5371.0,0.01,0.001,9.24799771757e-14,9.03679102738e-12,5.06882059006e-11,2.84143228866e-31,0.0,0.95691,0.0,5.15370794371e-30,0.0,3.12963380236,0.0,5.24384726195,0.0,4.27070934923,1.974e-23,0.0,0.0033878632056,1.581e-26,0.0,1.581e-26,4.25907832931e-07,2.37172965072e-06,1.80782683856e-06,4.20016820059e-07,1.11513977843e-06,1.31326033581e-06,9.22671099321e-07,1.24601888578e-06,7.37864423098e-07,0.957320210952,0.959151582766,0.0110219100289
