Unnamed: 0,Unnamed: 0.1,B_110_elel,B_110_elmu,B_110_mumu,B_90_elel,B_90_elmu,B_90_mumu,MA0,MH0,MHC,Mh,Mtr01,Mtr02,Mtr03,O_110_elel,O_110_elmu,O_110_mumu,O_90_elel,O_90_elmu,O_90_mumu,SR,S_110_elel,S_110_elmu,S_110_mumu,S_90_elel,S_90_elmu,S_90_mumu,U_e1_i,U_e1_r,U_e2_i,U_e2_r,U_e3_i,U_e3_r,U_mu1_i,U_mu1_r,U_mu2_i,U_mu2_r,U_mu3_i,U_mu3_r,U_tau1_i,U_tau1_r,U_tau2_i,U_tau2_r,U_tau3_i,U_tau3_r,Unnamed: 0.1,Unnamed: 0.1.1,Y1e,Y1mu,Y1tau,Y2e,Y2mu,Y2tau,Y3e,Y3mu,Y3tau,Yukawa_max,dB_110_elel,dB_110_elmu,dB_110_mumu,dB_90_elel,dB_90_elmu,dB_90_mumu,dS_110_stat_elel,dS_110_stat_elmu,dS_110_stat_mumu,dS_110_sys_elel,dS_110_sys_elmu,dS_110_sys_mumu,dS_110_tot_elel,dS_110_tot_elmu,dS_110_tot_mumu,dS_90_stat_elel,dS_90_stat_elmu,dS_90_stat_mumu,dS_90_sys_elel,dS_90_sys_elmu,dS_90_sys_mumu,dS_90_tot_elel,dS_90_tot_elmu,dS_90_tot_mumu,index,la2,laL,level_0,m_nu_1,m_nu_2,m_nu_3,mu_to_e_gamma,r_exp,r_max,r_obs,tau_to_mu_gamma,theta_1_i,theta_1_r,theta_2_i,theta_2_r,theta_3_i,theta_3_r,xsection1,xsection2,xsection_process,xsectionerror1,xsectionerror2,xsectionerror_process,y1e,y1mu,y1tau,y2e,y2mu,y2tau,y3e,y3mu,y3tau,CLdb600,CL600,CLdb,CLdbs
12,19827.0,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,600.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.006,0.295,5.177,0.006,0.314,5.4,0.0,0.832436995243,0.387031701057,0.364569201179,-0.128953360376,0.0878375758265,-0.0901658324825,-0.401266768579,0.396625732951,0.45272461746,0.299339522257,0.615613029596,-0.0937957820096,0.359313377589,-0.472600202486,-0.362868098963,0.311390510169,0.640396743827,19827.0,19827.0,0.0710421441489,0.887815872313,0.454682296361,0.864354037325,0.262824858734,0.428736739494,0.491298264134,0.309499544028,0.814147436221,3.99885094222e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.003,0.02,0.085,0.0,0.0,0.0,0.003,0.02,0.085,0.003,0.021,0.087,0.0,0.0,0.0,0.003,0.021,0.087,19827.0,0.01,0.001,0.0,7.03351008629e-11,7.0894701844e-11,8.69373133475e-11,2.96528965242e-31,0.0,0.88161,0.0,1.63653374418e-29,0.0,5.58093287362,0.0,1.98654805115,0.0,3.15175929426,7.198e-23,0.0,0.00205346093257,5.289e-26,0.0,5.289e-26,3.1998407995e-07,3.99885094222e-06,2.04795474593e-06,3.6774297958e-06,1.11819916938e-06,1.82407808871e-06,2.30053404835e-06,1.44925046751e-06,3.81229496242e-06,0.943914877524,0.962414385017,0.944141419127,0.0137942481252
13,49068.0,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,600.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.004,0.256,5.265,0.008,0.279,5.501,0.0,0.789829355609,0.247768992013,0.543247481801,-0.0676629598285,-0.122816989862,0.0290297068859,-0.315220880122,0.261523558552,0.520520345957,0.564366994797,0.491881048431,0.0251266389821,0.524720224391,-0.211437569174,-0.509363183027,0.488487389397,0.42574723798,49068.0,49068.0,0.0703862930704,0.889308987142,0.451857604933,0.220574229836,0.382218878297,0.897360428259,0.460931553784,0.437247606518,0.772241305111,2.47402375988e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.002,0.019,0.086,0.0,0.0,0.0,0.002,0.019,0.086,0.003,0.02,0.087,0.0,0.0,0.0,0.003,0.02,0.087,49068.0,0.01,0.001,0.0,5.94912079082e-13,8.96202176622e-12,4.79781838139e-11,5.21226431551e-32,0.0,0.89677,0.0,2.67994723432e-30,0.0,1.56267054077,0.0,0.880204392146,0.0,2.63329200091,1.047e-23,0.0,0.00205346093257,7.934e-27,0.0,7.934e-27,1.95811988796e-07,2.47402375988e-06,1.25705066164e-06,2.81791437269e-07,4.88298234778e-07,1.1464099184e-06,1.09984976452e-06,1.04333641973e-06,1.84268013462e-06,0.946703620025,0.964369415549,0.947004211463,0.0130034003672
14,52759.0,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,600.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.006,0.274,5.43,0.006,0.297,5.661,0.0,0.829586922321,0.50674621071,0.183706298539,-0.145748737242,-0.00176570495346,-0.0800811601269,-0.283719803281,0.502013826035,0.237336355667,0.421752696262,0.653351602863,-0.0629776735708,0.470010033897,-0.608119408949,-0.176931147673,0.331676059521,0.513810787792,52759.0,52759.0,0.0709994876036,0.898720196065,0.432736735147,0.31743307,0.576568532688,0.752864511837,0.524611089591,0.624738634635,0.578346646115,2.29112776019e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.003,0.02,0.087,0.0,0.0,0.0,0.003,0.02,0.087,0.003,0.02,0.089,0.0,0.0,0.0,0.003,0.02,0.089,52759.0,0.01,0.001,0.0,6.6169514341e-16,8.57105237574e-12,4.83220335715e-11,3.78830704583e-32,0.0,0.9254,0.0,1.98816727749e-30,0.0,2.1100078808,0.0,0.777739119049,0.0,1.53766090944,7.387e-24,0.0,0.00205346093257,5.987e-27,0.0,5.987e-27,1.81000602546e-07,2.29112776019e-06,1.10318556441e-06,8.46860607413e-07,1.53819253239e-06,2.00852197849e-06,4.17225574122e-07,4.96857463906e-07,4.5996170545e-07,0.952304733663,0.968405695991,0.952504222695,0.0116895398656
15,123354.0,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,600.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.003,0.26,5.476,0.006,0.272,5.701,0.0,0.783255131175,0.348333695873,0.493561838487,-0.11475471541,-0.0916684388936,-0.0137414803735,-0.292825663704,0.31712571228,0.467722982771,0.522638727244,0.567079850794,-0.0110374250632,0.548136732148,-0.330914752545,-0.454117020664,0.419793619775,0.455489597034,123354.0,123354.0,0.0704977209904,0.903366343435,0.42303583877,0.239288532618,0.67349064219,0.699393560908,0.483360320638,0.839056920147,0.249692381114,2.20654535913e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.002,0.019,0.087,0.0,0.0,0.0,0.002,0.019,0.087,0.003,0.019,0.089,0.0,0.0,0.0,0.003,0.019,0.089,123354.0,0.01,0.001,0.0,1.04751046653e-15,8.80659917093e-12,4.81621241551e-11,3.14484234562e-33,0.0,0.93334,0.0,4.69817038418e-31,0.0,3.50258479657,0.0,5.84329878322,0.0,1.37162433231,9.409e-25,0.0,0.00205346093257,7.872e-28,0.0,7.872e-28,1.07363180605e-07,1.37576481226e-06,6.44254488263e-07,7.54941181408e-07,2.12482318112e-06,2.20654535913e-06,7.70057194531e-07,1.33672912399e-06,3.97793129239e-07,0.953618875571,0.969322765236,0.953887819327,0.0113143924009
18,121995.0,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,600.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_elel,5.181,0.464,0.019,5.404,0.503,0.021,0.0,0.832581363166,0.126928160678,0.516016961197,-0.145993301826,-0.0557670809154,-0.061977457181,-0.345346671766,0.122623147648,0.664126401419,0.257001574416,0.595604187736,-0.0711639454275,0.422656406175,-0.165771219924,-0.483771978341,0.295095133753,0.683886461953,121995.0,121995.0,0.836704609349,0.0786602698484,0.541975976074,0.132162488567,0.713027894499,0.688566843729,0.387280539327,0.324682892356,0.862899068994,2.51763372922e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.085,0.025,0.005,0.0,0.0,0.0,0.085,0.025,0.005,0.087,0.026,0.005,0.0,0.0,0.0,0.087,0.026,0.005,121995.0,0.01,0.001,0.0,1.00428733862e-12,9.03492351946e-12,5.10736757909e-11,9.711849525e-34,0.0,0.91501,0.0,8.76402489321e-32,0.0,0.464835864329,0.0,3.02863454715,0.0,4.92611998803,1.059e-25,0.0,0.00205346093257,8.67e-29,0.0,8.67e-29,7.38252462552e-07,6.9404587081e-08,4.78203531461e-07,4.66653186393e-07,2.51763372922e-06,2.43126408373e-06,6.43004528682e-07,5.3907322721e-07,1.43267722701e-06,0.94215241623,0.962559217831,0.944709277667,0.0148042679616
30,43084.0,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,600.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.013,0.345,5.07,0.014,0.365,5.32,0.0,0.79926926523,0.218211320337,0.53621636023,-0.104544346502,-0.1228615317,-0.00993215447686,-0.289002095035,0.221275962253,0.562832737194,0.421282265963,0.610865494384,-0.00870875589797,0.526756054168,-0.211976517421,-0.504160737495,0.369390591635,0.535621801844,43084.0,43084.0,0.100043911928,0.876634968295,0.470640359562,0.372318078141,0.229674262089,0.899238000767,0.867749650361,0.321889593539,0.378678800396,2.67552465438e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.004,0.022,0.084,0.0,0.0,0.0,0.004,0.022,0.084,0.004,0.023,0.086,0.0,0.0,0.0,0.004,0.023,0.086,43084.0,0.01,0.001,0.0,5.30504943036e-12,1.02651836717e-11,4.95161278209e-11,1.89032909778e-31,0.0,0.86309,0.0,4.07152035045e-30,0.0,2.15639112199,0.0,1.02944131616,0.0,4.47621427495,1.517e-23,0.0,0.00205346093257,1.061e-26,0.0,1.061e-26,3.05337982815e-07,2.67552465438e-06,1.43641302354e-06,8.37785540521e-07,5.16810187592e-07,2.02345424184e-06,1.22237555723e-06,4.53437199431e-07,5.33434625357e-07,0.9403766,0.959928091372,0.940144160826,0.0149444158959
31,21994.0,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,600.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.01,0.311,5.172,0.01,0.339,5.408,0.0,0.80912066719,0.0140232540955,0.568840272348,-0.0892948088337,-0.116508694702,-0.0509977068583,-0.306550825489,-0.0212255482205,0.594240183847,0.0382415158749,0.740534598621,-0.0450248413249,0.496711520782,-0.045631177267,-0.566188986616,0.0337626589578,0.653802981595,21994.0,21994.0,0.100010044145,0.884285631968,0.456110635882,0.503112784226,0.0738593955897,0.861058834245,0.14875591721,0.739603718086,0.656397758442,2.07182849488e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.004,0.021,0.085,0.0,0.0,0.0,0.004,0.021,0.085,0.004,0.022,0.087,0.0,0.0,0.0,0.004,0.022,0.087,21994.0,0.01,0.001,0.0,1.3124121452e-17,9.01950656114e-12,5.06674783455e-11,5.99238802104e-32,0.0,0.88065,0.0,1.41984687999e-30,0.0,3.8059471888,0.0,5.58818152776,0.0,3.599929743,5.269e-24,0.0,0.00205346093257,3.925e-27,0.0,3.925e-27,2.34317568604e-07,2.07182849488e-06,1.06864001639e-06,9.12699848562e-07,1.33988762129e-07,1.56205187437e-06,3.99072468999e-07,1.98415960449e-06,1.76094019666e-06,0.943882273708,0.962414845143,0.944080166251,0.0138198531622
32,32894.0,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,600.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.01,0.325,5.301,0.01,0.347,5.507,0.0,0.82512308114,0.0415034516491,0.541631770901,0.012660057406,-0.154674213007,0.0359209843642,-0.321102528683,0.0742911946542,0.659995813954,0.22259282285,0.636350240144,0.0384753841243,0.461838061168,-0.0139374952502,-0.513424364866,0.238421761376,0.681602143162,32894.0,32894.0,0.10038724009,0.890939069475,0.442888221237,0.523803474841,0.152563932222,0.838065729122,0.259961955126,0.531514584168,0.806171215502,2.38508422481e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.004,0.021,0.086,0.0,0.0,0.0,0.004,0.021,0.086,0.004,0.022,0.087,0.0,0.0,0.0,0.004,0.022,0.087,32894.0,0.01,0.001,0.0,2.94448208005e-18,8.92379047782e-12,4.79592322634e-11,5.46506500295e-32,0.0,0.90302,0.0,1.21781735308e-30,0.0,2.11350508263,0.0,3.79490015652,0.0,6.01132235436,4.837e-24,0.0,0.00205346093257,3.606e-27,0.0,3.606e-27,2.30212687427e-07,2.04314290675e-06,1.01565186521e-06,6.38696245746e-07,1.86027805135e-07,1.02188981286e-06,7.69106048814e-07,1.57250349005e-06,2.38508422481e-06,0.948528827641,0.965777116384,0.948491448172,0.0127634783851
33,131761.0,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,600.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.006,0.278,5.459,0.006,0.303,5.729,0.0,0.782624811127,0.27015007779,0.541323805538,-0.110903454816,0.0958451967753,-0.0767994601507,-0.377095102136,0.19899877279,0.531703752932,0.668149569961,0.288388430025,-0.0707087565667,0.484148534665,-0.297003022147,-0.472723265145,0.615160903473,0.265517325972,131761.0,131761.0,0.0997371719484,0.900037123555,0.424247183556,0.715291603952,0.687926976971,0.122940618478,0.161864683163,0.636164912138,0.754383210914,2.67435358884e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.003,0.02,0.087,0.0,0.0,0.0,0.003,0.02,0.087,0.003,0.021,0.089,0.0,0.0,0.0,0.003,0.021,0.089,131761.0,0.01,0.001,0.0,1.71683028089e-12,9.02830622066e-12,5.08557588057e-11,2.88361655933e-32,0.0,0.93045,0.0,3.23406296789e-31,0.0,2.55110833874,0.0,0.407522207581,0.0,2.89744877977,1.305e-24,0.0,0.00205346093257,1.085e-27,0.0,1.085e-27,1.64840222276e-07,1.48753284864e-06,7.01172879392e-07,1.04166485906e-06,1.0018143e-06,1.79035964231e-07,5.73824271352e-07,2.25525951699e-06,2.67435358884e-06,0.953236496826,0.969073725163,0.953435000705,0.01146045915
37,93342.0,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,600.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_elel,5.316,0.461,0.015,5.525,0.506,0.015,0.0,0.81397962436,0.148509829814,0.543772614814,0.134248131075,0.0408752279098,0.0169375170742,-0.45995774281,0.13835700572,0.462077479433,0.656967470376,0.351976533565,0.0148118402586,0.354075946456,-0.166740556084,-0.649457852946,0.574517338269,0.307803095763,93342.0,93342.0,0.836868953468,0.0937212750818,0.539320570086,0.345360852683,0.676969969133,0.64995195386,0.378243292429,0.751089798475,0.541106390981,3.36322968476e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.086,0.025,0.005,0.0,0.0,0.0,0.086,0.025,0.005,0.088,0.027,0.005,0.0,0.0,0.0,0.088,0.027,0.005,93342.0,0.01,0.001,0.0,6.56903133033e-11,6.62683179004e-11,8.32729247771e-11,4.72470166908e-31,0.0,0.93921,0.0,2.06841594022e-31,0.0,4.20119144952,0.0,3.37406685829,0.0,1.83305428113,4.551e-23,0.0,0.00205346093257,3.71e-26,0.0,3.71e-26,3.3620710234e-06,3.7651962344e-07,2.16668816963e-06,1.57528332622e-06,3.08784130119e-06,2.96460489893e-06,1.69369770664e-06,3.36322968476e-06,2.42296604275e-06,0.946961129728,0.965911190264,0.94951289554,0.0134465815015
