Unnamed: 0,Unnamed: 0.1,B_110_elel,B_110_elmu,B_110_mumu,B_90_elel,B_90_elmu,B_90_mumu,MA0,MH0,MHC,Mh,Mtr01,Mtr02,Mtr03,O_110_elel,O_110_elmu,O_110_mumu,O_90_elel,O_90_elmu,O_90_mumu,SR,S_110_elel,S_110_elmu,S_110_mumu,S_90_elel,S_90_elmu,S_90_mumu,U_e1_i,U_e1_r,U_e2_i,U_e2_r,U_e3_i,U_e3_r,U_mu1_i,U_mu1_r,U_mu2_i,U_mu2_r,U_mu3_i,U_mu3_r,U_tau1_i,U_tau1_r,U_tau2_i,U_tau2_r,U_tau3_i,U_tau3_r,Unnamed: 0.1.1,Unnamed: 0.1.1,Y1e,Y1mu,Y1tau,Y2e,Y2mu,Y2tau,Y3e,Y3mu,Y3tau,Yukawa_max,dB_110_elel,dB_110_elmu,dB_110_mumu,dB_90_elel,dB_90_elmu,dB_90_mumu,dS_110_stat_elel,dS_110_stat_elmu,dS_110_stat_mumu,dS_110_sys_elel,dS_110_sys_elmu,dS_110_sys_mumu,dS_110_tot_elel,dS_110_tot_elmu,dS_110_tot_mumu,dS_90_stat_elel,dS_90_stat_elmu,dS_90_stat_mumu,dS_90_sys_elel,dS_90_sys_elmu,dS_90_sys_mumu,dS_90_tot_elel,dS_90_tot_elmu,dS_90_tot_mumu,index,la2,laL,level_0,m_nu_1,m_nu_2,m_nu_3,mu_to_e_gamma,r_exp,r_max,r_obs,tau_to_mu_gamma,theta_1_i,theta_1_r,theta_2_i,theta_2_r,theta_3_i,theta_3_r,xsection1,xsection2,xsection_process,xsectionerror1,xsectionerror2,xsectionerror_process,y1e,y1mu,y1tau,y2e,y2mu,y2tau,y3e,y3mu,y3tau,CLdb600,CL600,CLdb,CLdbQ
16,25756.0,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,600.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.003,0.214,5.783,0.003,0.232,6.035,0.0,0.813218239078,0.115228389832,0.547159109296,-0.139163817831,-0.0815405097359,-0.0366081801251,-0.343354527842,0.113717209339,0.662130866149,0.377027307801,0.535974841689,-0.0412252166184,0.466630567477,-0.127675364326,-0.46871040209,0.424578123851,0.603572176359,25756.0,25756.0,0.070502590817,0.917582220812,0.391244492278,0.587064501589,0.238419899808,0.773635070528,0.161505140177,0.571558985409,0.804510047106,2.28678036192e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.002,0.017,0.09,0.0,0.0,0.0,0.002,0.017,0.09,0.002,0.018,0.092,0.0,0.0,0.0,0.002,0.018,0.092,25756.0,0.01,0.001,0.0,2.57360756305e-12,8.9191758761e-12,4.8067706077e-11,2.06337124434e-32,0.0,0.98653,0.0,7.39198905552e-31,0.0,5.43782926272,0.0,2.57467691039,0.0,0.518980291783,3.365e-24,0.0,0.00205346093257,2.876e-27,0.0,2.876e-27,1.47668355797e-07,1.92188480289e-06,8.1946535893e-07,1.12565092058e-06,4.571517763e-07,1.4833856024e-06,4.59070441986e-07,1.62462839117e-06,2.28678036192e-06,0.961873078631,0.975090613036,0.961873078631,0.950031313386
34,30423.0,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,600.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.007,0.253,5.696,0.007,0.279,5.967,0.0,0.800415817791,0.237341708965,0.530904672953,0.0706219143699,0.127107062204,0.0446382852735,-0.439589913963,0.206160484156,0.381690360956,0.00678418948042,0.785195790188,0.0342163944093,0.403648223101,-0.257993079655,-0.638011783118,0.00520025582495,0.601872779857,30423.0,30423.0,0.100018860342,0.908766877221,0.4051407045,0.614296015898,0.654425365116,0.440871689208,0.174970767683,0.293861642828,0.939697060403,2.43585094495e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.003,0.019,0.089,0.0,0.0,0.0,0.003,0.019,0.089,0.003,0.02,0.091,0.0,0.0,0.0,0.003,0.02,0.091,30423.0,0.01,0.001,0.0,5.04648295654e-12,1.03098800726e-11,5.04820133256e-11,1.00681263209e-31,0.0,0.97137,0.0,2.07780922217e-30,0.0,2.8873302393,0.0,3.96942184929,0.0,0.870012239784,9.028e-24,0.0,0.00205346093257,8.314e-27,0.0,8.314e-27,2.6808969559e-07,2.43585094495e-06,1.08593567023e-06,1.3343031279e-06,1.42146748319e-06,9.57610758804e-07,4.01394414813e-07,6.74137878693e-07,2.15572667742e-06,0.959858619609,0.973721263493,0.959858619609,0.94699790594
35,80962.0,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,600.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.003,0.288,5.987,0.003,0.311,6.264,0.0,0.789215050763,0.112818517035,0.582279657711,-0.0842253271737,-0.135159462644,0.00815980746163,-0.258023406965,0.111586825531,0.54368432602,0.470576255618,0.635508505574,0.00609882194435,0.557189148334,-0.106439777399,-0.573453302567,0.351719180599,0.474993219857,80962.0,80962.0,0.0993956438071,0.928711940612,0.357231909768,0.501408701489,0.316125865933,0.805390433864,0.125173463866,0.817243718871,0.562533828236,2.31624994585e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.002,0.02,0.091,0.0,0.0,0.0,0.002,0.02,0.091,0.002,0.021,0.093,0.0,0.0,0.0,0.002,0.021,0.093,80962.0,0.01,0.001,0.0,1.29395215832e-15,8.78937264385e-12,4.96356123149e-11,2.35954260247e-32,0.0,1.02193,0.0,5.64418467143e-31,0.0,5.61186739869,0.0,2.57760032215,0.0,3.66018838161,2.797e-24,0.0,0.00205346093257,2.104e-27,0.0,2.104e-27,1.98782449391e-07,1.85734130051e-06,7.14432054608e-07,9.82306860214e-07,6.19320338626e-07,1.57783569768e-06,3.54769357299e-07,2.31624994585e-06,1.59434562677e-06,0.967142278799,0.978820114868,0.967142278799,0.955957416858
57,60181.0,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,600.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.011,0.353,5.509,0.011,0.372,5.773,0.0,0.829266449773,0.239277363099,0.481295333368,-0.148028756629,-0.0388044852942,-0.0797675557644,-0.270240386995,0.200572495855,0.519580834412,0.311868914917,0.71634592245,-0.0617809157369,0.4786517983,-0.317163857564,-0.548009729348,0.241546164588,0.554818392632,60181.0,60181.0,0.122861744433,0.905426964321,0.406333611747,0.158119702761,0.937317755003,0.31053757543,0.37502443889,0.386283588217,0.842699032698,2.58448966533e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.004,0.022,0.087,0.0,0.0,0.0,0.004,0.022,0.087,0.004,0.023,0.09,0.0,0.0,0.0,0.004,0.023,0.09,60181.0,0.01,0.001,0.0,2.71516160655e-18,8.95057813995e-12,5.00239226161e-11,2.1924342357e-31,0.0,0.93911,0.0,2.49338427981e-30,0.0,4.22567404428,0.0,2.23089783991,0.0,0.341306453199,1.161e-23,0.0,0.00205346093257,1.067e-26,0.0,1.067e-26,3.50701847043e-07,2.58448966533e-06,1.15985613596e-06,1.26305590532e-07,7.48726885353e-07,2.4805657462e-07,9.76394540601e-07,1.0057082887e-06,2.19400830872e-06,0.955312617069,0.970636667489,0.955312617069,0.940075330132
58,106979.0,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,600.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.008,0.353,5.687,0.011,0.377,5.929,0.0,0.79825004219,0.232282864822,0.5336704234,-0.119805548304,-0.0984075740856,-0.0201017621713,-0.307181668225,0.230369055045,0.565999085459,0.449431652137,0.574301023557,-0.0183705241822,0.517392245641,-0.226320806793,-0.486409884817,0.410724938615,0.524840098656,106979.0,106979.0,0.122491627779,0.908401514322,0.399753036139,0.35747829727,0.452860718188,0.81677808302,0.138194215301,0.830753132445,0.539213864612,2.33927894385e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.003,0.022,0.089,0.0,0.0,0.0,0.003,0.022,0.089,0.004,0.023,0.091,0.0,0.0,0.0,0.004,0.023,0.091,106979.0,0.01,0.001,0.0,1.74235744732e-14,9.01874686723e-12,5.0115296538e-11,1.06882799181e-31,0.0,0.96992,0.0,1.88982176782e-30,0.0,4.99377710409,0.0,2.39631758793,0.0,4.47205362846,7.691e-24,0.0,0.00205346093257,7.165e-27,0.0,7.165e-27,3.15435499769e-07,2.33927894385e-06,1.02942789663e-06,9.89931462849e-07,1.25406514646e-06,2.26182772135e-06,9.76800298407e-08,5.87202514885e-07,3.81133365611e-07,0.960281254043,0.974125407698,0.960281254043,0.946361834632
59,84858.0,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,600.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.006,0.321,5.758,0.006,0.338,5.999,0.0,0.824282970163,0.0770297973477,0.539429483108,0.128368944218,0.0846241238314,0.044718549011,-0.452738619948,0.100172656094,0.492379125986,0.352670347071,0.645120031423,0.0401525233427,0.334624197198,-0.0685436221464,-0.667766613572,0.316660639852,0.579249499222,84858.0,84858.0,0.122395739072,0.911133459792,0.3935163294,0.987988542714,0.141428469374,0.0622625691413,0.0947626325858,0.389029974431,0.916338214012,1.0544407166e-05,2.2,2.0,2.4,2.3,3.2,3.3,0.003,0.021,0.089,0.0,0.0,0.0,0.003,0.021,0.089,0.003,0.022,0.091,0.0,0.0,0.0,0.003,0.022,0.091,84858.0,0.01,0.001,0.0,4.40034035844e-10,4.40116157221e-10,4.42855986843e-10,2.86271705102e-29,0.0,0.9822,0.0,3.59772603043e-28,0.0,2.15356046238,0.0,3.62567844845,0.0,0.0303348170727,1.968e-21,0.0,0.00205346093257,1.766e-24,0.0,1.766e-24,1.26071158285e-06,9.38493868323e-06,4.05333223425e-06,1.04894658124e-05,1.50154483606e-06,6.61041158031e-07,1.09044429974e-06,4.47661178749e-06,1.0544407166e-05,0.961910366125,0.975227986041,0.961910366125,0.949343441449
60,48911.0,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,600.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.015,0.342,5.828,0.017,0.361,6.043,0.0,0.833141063797,0.159910847696,0.50569311455,-0.105522683847,-0.115947943898,-0.0283807804172,-0.287489823457,0.178666054851,0.624926453062,0.294350262747,0.638316085211,-0.0280119716841,0.470781722211,-0.181019958754,-0.51330316415,0.290525175985,0.630021156629,48911.0,48911.0,0.122463542378,0.915570266038,0.383058440366,0.172399539987,0.681949296689,0.710790795774,0.535909347451,0.253579688597,0.805294053651,2.20075378067e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.005,0.022,0.09,0.0,0.0,0.0,0.005,0.022,0.09,0.005,0.022,0.092,0.0,0.0,0.0,0.005,0.022,0.092,48911.0,0.01,0.001,0.0,2.36861723781e-18,8.97717162037e-12,4.87967509106e-11,1.83502932624e-32,0.0,0.99424,0.0,5.5206945334e-31,0.0,0.603499495361,0.0,0.4581830333,0.0,4.49276531505,1.429e-24,0.0,0.00205346093257,1.199e-27,0.0,1.199e-27,2.07044300463e-07,1.54791868319e-06,6.47621857754e-07,5.33784260669e-07,2.11145459654e-06,2.20075378067e-06,8.53708222054e-07,4.03954635482e-07,1.28284038717e-06,0.963782899856,0.976550412064,0.963782899856,0.95093898822
61,23565.0,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,600.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.007,0.308,5.983,0.007,0.328,6.235,0.0,0.834883365653,0.322675097599,0.422531917305,-0.0883895230975,-0.111824050235,0.00772640165647,-0.29614307936,0.39933475117,0.514808490788,0.481175831041,0.506175239624,0.00775956172648,0.463841712465,-0.324504352086,-0.433068655119,0.483240935206,0.508347635925,23565.0,23565.0,0.122325237226,0.920703459874,0.3705963779,0.366157011627,0.333100472902,0.868891890737,0.223614832921,0.589777895532,0.775988685768,2.18944853948e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.003,0.021,0.091,0.0,0.0,0.0,0.003,0.021,0.091,0.003,0.021,0.093,0.0,0.0,0.0,0.003,0.021,0.093,23565.0,0.01,0.001,0.0,1.61306106814e-17,8.97749846005e-12,5.06345802555e-11,8.52351074164e-32,0.0,1.0212,0.0,1.18048248704e-30,0.0,4.38221902213,0.0,5.6367805244,0.0,0.699077077307,5.591e-24,0.0,0.00205346093257,4.393e-27,0.0,4.393e-27,2.90891501616e-07,2.18944853948e-06,8.81284510911e-07,7.58544103693e-07,6.90062982911e-07,1.80002785563e-06,5.38489579854e-07,1.42025127324e-06,1.86866772616e-06,0.96716604847,0.978854552872,0.96716604847,0.955998101294
62,117922.0,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,600.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.004,0.308,6.1,0.006,0.328,6.367,0.0,0.839305000363,0.340739416818,0.397667212927,-0.139804681696,-0.0421806226912,-0.0224792346261,-0.246255037249,0.380172320068,0.465244523421,0.655346254996,0.385215481495,-0.0187211940762,0.483807579413,-0.401773460755,-0.450945744302,0.545786572852,0.320815806685,117922.0,117922.0,0.122759310654,0.928277517602,0.351042735236,0.151702968775,0.752267183081,0.641155437101,0.472898829594,0.182577676804,0.861993090982,2.14148314778e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.002,0.021,0.092,0.0,0.0,0.0,0.002,0.021,0.092,0.003,0.021,0.094,0.0,0.0,0.0,0.003,0.021,0.094,117922.0,0.01,0.001,0.0,1.56037839079e-16,8.7492973505e-12,5.01394112164e-11,4.2051064183e-32,0.0,1.04143,0.0,7.05234221157e-31,0.0,2.43815464328,0.0,0.543254429103,0.0,5.09458102362,2.62e-24,0.0,0.00205346093257,1.964e-27,0.0,1.964e-27,2.41538388042e-07,1.82645743172e-06,6.90703588599e-07,4.31853679658e-07,2.14148314778e-06,1.8251807264e-06,8.6487612737e-07,3.33913015167e-07,1.57648359373e-06,0.969653467742,0.980560487305,0.969653467742,0.959166161099
86,38349.0,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,600.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.011,0.413,5.636,0.014,0.442,5.894,0.0,0.815538849147,0.544219332026,0.130041759427,-0.143258361106,-0.0358871419856,-0.0591813265553,-0.295219836103,0.557953053825,0.17507081291,0.445785285374,0.607171226671,-0.0503577650953,0.491633298287,-0.578285590939,-0.102658827975,0.379321518973,0.516645837209,38349.0,38349.0,0.14108058128,0.902859799477,0.406128615187,0.351682223613,0.530917865913,0.771003134396,0.268684604897,0.633813953084,0.72531955438,2.13307374211e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.004,0.024,0.088,0.0,0.0,0.0,0.004,0.024,0.088,0.004,0.025,0.09,0.0,0.0,0.0,0.004,0.025,0.09,38349.0,0.01,0.001,0.0,2.46920628797e-18,8.76785976763e-12,4.90028199203e-11,1.01781399368e-31,0.0,0.96101,0.0,1.23733935795e-30,0.0,1.74853291854,0.0,0.646272911247,0.0,0.738613907706,5.449e-24,0.0,0.00205346093257,5.05e-27,0.0,5.05e-27,3.33313415466e-07,2.13307374211e-06,9.59509201182e-07,7.25571295749e-07,1.09536035103e-06,1.5906909866e-06,6.23195224876e-07,1.47008731361e-06,1.68232818167e-06,0.959328697946,0.973524960476,0.959328697946,0.94434566942
